job_title,company,company_rating,location,job_text,date
Data Entry Clerk/Data Analyst REMOTE 100%,The Admiral James J. Carey Foundation,N/A,N/A,"['Find jobs', 'Company Reviews', 'Find salaries', 'Employers', 'Create your resume', 'Change country', 'Help Center', 'Gathering invoices, statements, reports, personal details, documents and information from employees, other departments and clients.', 'Scanning through information to identify pertinent information.', 'Correcting errors and organizing the information in a manner that will optimize swift and accurate capturing.', 'Creating accurate spreadsheets.', 'Entering and updating information into relevant databases.', 'Ensuring data is backed up.', 'Informing relevant parties regarding errors encountered.', 'Storing hard copies of data in an organized manner to optimize retrieval.', 'Handling additional duties from time to time.', 'High school diploma.', '1+ years experience in a relevant field.', 'Good command of English.', 'Excellent knowledge of MS Office Word and Excel.', 'Strong interpersonal and communication skills.', 'Ability to concentrate for lengthy periods and perform accurately with adequate speed.', 'Proficient touch typing skills.', 'Hiring Lab', 'Career Advice', 'Browse Jobs', 'Browse Companies', 'Salaries', 'Find Certifications', 'Indeed Events', 'Work at Indeed', 'Countries', 'About', 'Help Center', '© 2021 Indeed', 'Do Not Sell My Personal Information', 'Accessibility at Indeed', 'Privacy Center', 'Cookies', 'Privacy', 'Terms']",2021-01-14 16:34:31
Data Analyst,ProSource360,N/A,N/A,"['Find jobs', 'Company Reviews', 'Find salaries', 'Employers', 'Create your resume', 'Change country', 'Help Center', ""Bachelor's (Preferred)project management: 8 years (Preferred)"", 'Provide lead project management support focused on oversight of contractors. Assists in implementation of program goals, resource planning, monitoring and reporting progress.', 'Managing processes for contractor onboarding, VA system access, and government furnished equipment (GFE).', 'Provide complete oversight of program milestones to ensure contractor team is meeting those goals. Provide expertise/risk analysis to the team as required', 'Bachelors degree in Engineering, Computer Science, Systems, Business or related scientific/technical discipline', 'Minimum of 8 years of experience.', 'Experience with large-scale project management, including change and risk management', 'Knowledge of Microsoft (MS) Office products, including MS Word and PowerPoint', 'Experience in developing reports and presentations', 'Excellent written and verbal communications skills', 'Experience with staff management', 'Experience with contractor management in the VA or other government organization', '401(k)', 'Dental insurance', 'Health insurance', 'Paid time off', 'Monday to Friday', ""Bachelor's (Preferred)"", 'project management: 8 years (Preferred)', 'Hiring Lab', 'Career Advice', 'Browse Jobs', 'Browse Companies', 'Salaries', 'Find Certifications', 'Indeed Events', 'Work at Indeed', 'Countries', 'About', 'Help Center', '© 2021 Indeed', 'Do Not Sell My Personal Information', 'Accessibility at Indeed', 'Privacy Center', 'Cookies', 'Privacy', 'Terms']",2021-01-14 16:34:31
Data Analyst,ProSource360,N/A,N/A,[],2021-01-14 16:34:31
Jr. Data Analyst,Quantum Technologies Inc.,N/A,N/A,"['Find jobs', 'Company Reviews', 'Find salaries', 'Employers', 'Create your resume', 'Change country', 'Help Center', ""Bachelor's (Preferred)SQL: 1 year (Preferred)"", 'Interpret data, analyze results using statistical techniques and provide ongoing reports', 'Acquire data from different data sources and correlate, and map data to develop new integrated data sets using business logic', 'Filter and “clean” data, and review reports, printouts, and performance indicators to locate and correct code problems', 'Work closely with management to prioritize business and information needs', 'Create Tableau dashboards to visualize data.', 'Must have basic SQL knowledge', ""Bachelor's degree or equivalent experience"", 'Fluency in Microsoft Office suite (Outlook, Excel, Word, PowerPoint, etc.)', 'Strong written, verbal and collaboration skills', '401(k)', '401(k) matching', 'Dental insurance', 'Disability insurance', 'Employee assistance program', 'Health insurance', 'Life insurance', 'Professional development assistance', 'Referral program', 'Relocation assistance', 'Vision insurance', 'Monday to Friday', ""Bachelor's (Preferred)"", 'SQL: 1 year (Preferred)', 'Multiple locations', 'Temporarily due to COVID-19', 'Hiring Lab', 'Career Advice', 'Browse Jobs', 'Browse Companies', 'Salaries', 'Find Certifications', 'Indeed Events', 'Work at Indeed', 'Countries', 'About', 'Help Center', '© 2021 Indeed', 'Do Not Sell My Personal Information', 'Accessibility at Indeed', 'Privacy Center', 'Cookies', 'Privacy', 'Terms']",2021-01-14 16:34:31
Junior Data Analyst,Amivero,N/A,N/A,"['Find jobs', 'Company Reviews', 'Find salaries', 'Employers', 'Create your resume', 'Change country', 'Help Center', ""Bachelor's (Required)"", '3+ years of experience with the responsibilities listed below', 'Work experience using R or Python, Tableau, Financial System Analysis, and Activity Based Costing', 'An Active Public Trust from the Dept of Homeland Security', 'A Degree in Business, Finance, Econ, Math, or related', 'Develop the annual activity-based costing model for the organization', 'Conduct statistical analysis to develop fee assessments', 'Identify new ways of using client data', 'Assess current data-driven processes and find improvements', 'Work with stakeholders to communicate findings', 'Become knowledgeable of all client financial systems', '401(k) matching', 'Dental insurance', 'Employee assistance program', 'Employee discount', 'Flexible spending account', 'Health insurance', 'Health savings account', 'Life insurance', 'Paid time off', 'Professional development assistance', 'Referral program', 'Tuition reimbursement', 'Vision insurance', ""Bachelor's (Required)"", 'Dept of Homeland Security Public Trust (Required)', 'Hiring Lab', 'Career Advice', 'Browse Jobs', 'Browse Companies', 'Salaries', 'Find Certifications', 'Indeed Events', 'Work at Indeed', 'Countries', 'About', 'Help Center', '© 2021 Indeed', 'Do Not Sell My Personal Information', 'Accessibility at Indeed', 'Privacy Center', 'Cookies', 'Privacy', 'Terms']",2021-01-14 16:34:31
Data Analyst,Enovational,N/A,N/A,"['Find jobs', 'Company Reviews', 'Find salaries', 'Employers', 'Create your resume', 'Change country', 'Help Center', ""US work authorization (Required)Bachelor's (Preferred)"", 'Work closely with product teams and UX to identify strategic research objectives and build hypotheses', 'Design and execute multi-method studies that address both qualitative and quantitative data, using the right methodology for the right questions', 'Analyze data and generate insights that shape how teams think about short-, medium- and long-term product strategy', 'Identify what’s important and prioritize discoveries for upcoming design development and future research', 'Tell the story of the data through collaboration with visual thinkers and visualization tools for leadership and your peers', 'Support solutioning teams in data-driven prototyping with a foundation of understanding and directional information', 'Own existing data-gathering processes by proposing new tools, adapting processes, and building up skills in others, including Google Analytics', 'Deep-dive into spreadsheets, sticky notes, and dashboards to shape actionable discoveries from information in different forms', 'Enjoy thinking and working in systems to solve complex, real-world problems. You bring clarity and direction to ambiguous situations through solid analytical abilities', 'Have an open mind. You like exploring multiple paths and validating several outcomes.', 'Are a perpetual learner and excited to learn about and try out new technologies, processes, and ideas.', 'Are genuinely passionate about what you do.', 'Have a positive yet practical attitude. You are willing to take on any task that might help take one of our products a little further.', 'Love to bring others along with you. You like to use your expertise to bring clarity and strength to others, and enjoy teaching others new things.', 'You enjoy tackling new problems on a regular basis. The novelty of different skills, methods, information and team members makes work more fun for you.', 'You naturally think about problems from the user’s point of view, and you are motivated primarily to improve products for users.', 'Are not comfortable working in an Agile environment, in which priorities and problems can change at a moment’s notice.', 'Are not comfortable navigating quantitative data, spreadsheets, or do not understand statistics with technical depth and applied practical skills', 'Find that too much information, or too much autonomy, to be overwhelming.', 'Prefer owning a project individually rather than working collaboratively.', 'Have trouble with ambiguity and uncertainty.', 'Tend to jump to conclusions or struggle with exploring multiple paths in parallel.', 'Your resume', 'A cover letter that includes a story, however brief, of how data influenced a project of which you were a part', 'A portfolio of relevant documents, such as reports, research plans, dashboards, etc.', '401(k)', '401(k) matching', 'Dental insurance', 'Disability insurance', 'Flexible schedule', 'Health insurance', 'Life insurance', 'Paid time off', 'Parental leave', 'Professional development assistance', 'Referral program', 'Vision insurance', '8 hour shift', 'Day shift', 'Monday to Friday', 'Bonus pay', ""Bachelor's (Preferred)"", 'One location', 'Innovative -- innovative and risk-taking', 'Outcome-oriented -- results-focused with strong performance culture', 'Team-oriented -- cooperative and collaborative', 'enovational.com', 'www.facebook.com/enovational/', 'Temporarily due to COVID-19', 'Hiring Lab', 'Career Advice', 'Browse Jobs', 'Browse Companies', 'Salaries', 'Find Certifications', 'Indeed Events', 'Work at Indeed', 'Countries', 'About', 'Help Center', '© 2021 Indeed', 'Do Not Sell My Personal Information', 'Accessibility at Indeed', 'Privacy Center', 'Cookies', 'Privacy', 'Terms']",2021-01-14 16:34:31
Entry Level Business Analyst,Dhatronictech,N/A,N/A,"['Find jobs', 'Company Reviews', 'Find salaries', 'Employers', 'Create your resume', 'Change country', 'Help Center', 'Actively participate and interact with customers to understand business needs, identify the best solution, and architect the processes to meet the needs', 'Author, review, analyze, and document business systems and user requirements producing deliverables such as use cases, user stories, test cases, functional specifications, workflow, and process diagrams.', 'Manage software development processes using Lean Startup and Agile methodologies', 'Set individual and team goals and demonstrate the resourcefulness to achieve them', 'Develop and implement databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and quality', 'Master’s or Bachelor’s degree', '0-1 year of experience', 'Knowledge in writing SQL queries', 'Basic knowledge in generating process documentation', 'Strong written and verbal communication skills including technical writing', 'Monday to Friday', 'One location', 'Temporarily due to COVID-19', 'Hiring Lab', 'Career Advice', 'Browse Jobs', 'Browse Companies', 'Salaries', 'Find Certifications', 'Indeed Events', 'Work at Indeed', 'Countries', 'About', 'Help Center', '© 2021 Indeed', 'Do Not Sell My Personal Information', 'Accessibility at Indeed', 'Privacy Center', 'Cookies', 'Privacy', 'Terms']",2021-01-14 16:34:31
Cloud Data Analyst,IT Alliances Inc,N/A,N/A,"['Find jobs', 'Company Reviews', 'Find salaries', 'Employers', 'Create your resume', 'Change country', 'Help Center', ""Bachelor's (Preferred)SQL: 1 year (Preferred)Business Analysis: 1 year (Preferred)"", '8 hour shift', 'Monday to Friday', ""Bachelor's (Preferred)"", 'SQL: 1 year (Preferred)', 'Business Analysis: 1 year (Preferred)', 'Possible', 'Fully Remote', 'www.IT-Alliances.com', 'Waiting period may apply', 'Remote interview process', 'Hiring Lab', 'Career Advice', 'Browse Jobs', 'Browse Companies', 'Salaries', 'Find Certifications', 'Indeed Events', 'Work at Indeed', 'Countries', 'About', 'Help Center', '© 2021 Indeed', 'Do Not Sell My Personal Information', 'Accessibility at Indeed', 'Privacy Center', 'Cookies', 'Privacy', 'Terms']",2021-01-14 16:34:31
Publications Data Analyst,Cherokee Nation Businesses,3.4 out of 5 from 171 employee ratings,171 reviews,"['Find jobs', 'Company Reviews', 'Find salaries', 'Employers', 'Create your resume', 'Change country', 'Help Center', 'Hiring Lab', 'Career Advice', 'Browse Jobs', 'Browse Companies', 'Salaries', 'Find Certifications', 'Indeed Events', 'Work at Indeed', 'Countries', 'About', 'Help Center', '© 2021 Indeed', 'Do Not Sell My Personal Information', 'Accessibility at Indeed', 'Privacy Center', 'Cookies', 'Privacy', 'Terms']",2021-01-14 16:34:31
Early career data scientist / analyst / statistical geneticist,Data Tecnica,N/A,N/A,"['Find jobs', 'Company Reviews', 'Find salaries', 'Employers', 'Create your resume', 'Change country', 'Help Center', 'Hiring Lab', 'Career Advice', 'Browse Jobs', 'Browse Companies', 'Salaries', 'Find Certifications', 'Indeed Events', 'Work at Indeed', 'Countries', 'About', 'Help Center', '© 2021 Indeed', 'Do Not Sell My Personal Information', 'Accessibility at Indeed', 'Privacy Center', 'Cookies', 'Privacy', 'Terms']",2021-01-14 16:34:31
