job_title,company,location,date_posted,applicants,job_text,seniority_level,employment_type,job_function,industries,date_scraped
Data Engineer,Apple,"Austin, TX",5 days ago,105 applicants,"['', 'Description', 'Education & Experience', 'Summary', 'Key Qualifications']",Not Applicable,Full-time,Information Technology,Consumer Electronics,2021-03-24 13:05:10
Data Engineer,Mozilla,"Pennsylvania, United States",16 hours ago,Be among the first 25 applicants,"['', 'You will work with other data engineers to design and maintain scalable data models and ETL pipelines.', 'We Have Multiple Openings For The Following', 'Proficiency with one or more of the programming languages used by our teams (SQL, Python, Java, Rust).', 'Ability to work collaboratively with a distributed team.', 'Commitment to diversity, equity, inclusion, and belonging', ' Strong CS fundamentals: data structures, algorithms, etc. Proficiency with one or more of the programming languages used by our teams (SQL, Python, Java, Rust). Ability to work collaboratively with a distributed team. Ability to write and speak English well. ', 'You have experience with data systems: Databases, message queues, batch and stream processing', 'You will help design, build, and improve the infrastructure for ingesting, storing, and transforming data at a scale of tens of terabytes per day.', 'Specific Skills/Experience', 'You have experience with highly scalable distributed systems hosted on cloud providers (e.g. Google Cloud Platform)', 'You have a working knowledge of web development technologies: HTML, Javascript, CSS, HTTP.', 'General Professional Requirements', 'You will help design and build systems to monitor and analyze data from Mozilla’s products. See https://telemetry.mozilla.org', 'Ability to write and speak English well.', ' You have experience with data systems: Databases, message queues, batch and stream processing You have experience with highly scalable distributed systems hosted on cloud providers (e.g. Google Cloud Platform) You have a working knowledge of web development technologies: HTML, Javascript, CSS, HTTP. ', 'About Mozilla', 'You will work with data scientists to answer questions and guide product decisions.', 'Strong CS fundamentals: data structures, algorithms, etc.', 'The Role', ' You will help design, build, and improve the infrastructure for ingesting, storing, and transforming data at a scale of tens of terabytes per day. You will help design and build systems to monitor and analyze data from Mozilla’s products. See https://telemetry.mozilla.org You will work with other data engineers to design and maintain scalable data models and ETL pipelines. You will work with data scientists to answer questions and guide product decisions. ']",Associate,Full-time,Information Technology,Information Technology and Services,2021-03-24 13:05:10
Data Engineer,MMIT (Managed Markets Insight & Technology),"Yardley, PA",16 hours ago,28 applicants,"['o\xa0\xa0 Working with complex business logic including applying logic to transforms that fall outside of basic schema formatting conversion', '·\xa0\xa0\xa0\xa0\xa0\xa0 Build reports, dashboards and/or other analyses as needed and/or as specific initiatives arise', 'o\xa0\xa0 Importing/exporting data from a database; SSIS, SQL Import/Export Wizard, or equivalent', 'Provide critical data to support our quality management system (60%)', '·\xa0\xa0\xa0\xa0\xa0\xa0 5+ years of practical experience with SQL, T-SQL, including:', 'Position Description', 'o\xa0\xa0 Creating functions, views, triggers, and stored procedures', '·\xa0\xa0\xa0\xa0\xa0\xa0 Familiarity with reporting software; PowerBI, Tableau a plus', '·\xa0\xa0\xa0\xa0\xa0\xa0 Experience in the commercial health insurance industry', '·\xa0\xa0\xa0\xa0\xa0\xa0 Excellent written and spoken communication skills, including ability to present technical concepts to lay audiences and pitch ideas effectively & persuasively to internal stakeholders', '·\xa0\xa0\xa0\xa0\xa0\xa0 Inform, create, and/or maintain master data hierarchy, attributes, and structure', '·\xa0\xa0\xa0\xa0\xa0\xa0 Translate operational strategy into actionable data science deliverables, guiding development of data models, business rules, & other advanced analytical capabilities', '·\xa0\xa0\xa0\xa0\xa0\xa0 Effectively partner with internal stakeholders to develop meaningful and projectable analytics about trends in market access dynamics across payers, geographies, indications, drugs, etc.', '·\xa0\xa0\xa0\xa0\xa0\xa0 Excel at communicating across a broad set of cross-functional stakeholders', '·\xa0\xa0\xa0\xa0\xa0\xa0 Develop a system of measurements that provide confidence scores & control limits in various aspects of the data based on statistical sampling and failure rates', '·\xa0\xa0\xa0\xa0\xa0\xa0 Proven ability to work both collaboratively to solve complex problems and individually to research/advance areas of interest & exploration', '·\xa0\xa0\xa0\xa0\xa0\xa0 Experience in managed markets and pharma market access ecosystem', '·\xa0\xa0\xa0\xa0\xa0\xa0 Develop leading & lagging measure quality checks that fulfill our QMS design', '·\xa0\xa0\xa0\xa0\xa0\xa0 Bachelor’s degree or higher in technology field or related field preferred', 'Additional Information', 'o\xa0\xa0 Working with complex queries including use of CTEs, table variables, merge and dynamic SQL', '\xa0', '·\xa0\xa0\xa0\xa0\xa0\xa0 Strong understanding of the data science package landscape', '·\xa0\xa0\xa0\xa0\xa0\xa0 Strong related programming skills including experience with good coding practices', 'MMIT is seeking an experienced Data Engineer to make meaningful contributions to the Data Operations quality initiatives. The Data Engineer will partner with our Quality Manager to define & produce critical insight about our operational processes & outputs that allow for preventive & predictive measures to be established. As part of the quality program, the analysis produced in this role will drive improvements in timeliness, accuracy, and completeness of our data product. Errors in our data can results in inaccurate representation of access to therapies that are critical for one’s health.', '·\xa0\xa0\xa0\xa0\xa0\xa0 Knowledge of payer marketing, drug development life cycle and drug launch process', 'Qualifications', 'To succeed in this role, you will have the following responsibilities.', 'Establish Data Engineering/Science capabilities in Data Operations (40%)', '·\xa0\xa0\xa0\xa0\xa0\xa0 Proven ability to develop meaningful/valuable analytic insights from multiple data sources and promote high quality outcomes', 'Position based in Yardley, PA or home based with light travel to local offices', '·\xa0\xa0\xa0\xa0\xa0\xa0 Familiarity with agile software development practices', 'Preferred candidates may also have:']",Mid-Senior level,Full-time,Engineering,Information Technology and Services,2021-03-24 13:05:10
Data Engineer - Segments Data Science,LinkedIn,"Sunnyvale, CA",18 hours ago,132 applicants,[''],Not Applicable,Full-time,Engineering,Internet,2021-03-24 13:05:10
Data Engineer,Amazon,"Arlington, VA",16 hours ago,Be among the first 25 applicants,"['', ' Willingness to dive deep, experiment rapidly and get things done', 'Company', ' Experience working with AWS big data technologies (EMR, Redshift, S3, AWS Glue, Kinesis and Lambda for Serverless ETL)', ' Experience with Object Oriented programming (e.g. Java, Scala, Python)', ' Experience with agile methodologies, coding standards, code reviews, source control management, build processes, testing, and operations', ' Experience using big data technologies (Hadoop, Hive, Hbase, Spark, EMR, etc.)', 'Preferred Qualifications', ' Experience of distributed systems as it pertains to data storage and computing', ' Experience with Machine Learning/deep learning development projects', ' High attention to detail and proven ability to manage multiple, competing priorities simultaneously', ' Love to get your hands dirty and solve challenging technical issues?', ' BS/MS in Computer Science or equivalent industry experience Domain knowledge of Distributed SOA Architecture, Relational DB knowledge, ElasticSearch, DynamoDB, and various AWS technologies 5+ years of experience as a Data Engineer, BI Engineer, Systems Analyst in a company with large, complex data sources 3+ years’ full-time experience working on a software design and development team Experience with Object Oriented programming (e.g. Java, Scala, Python) Experience using big data technologies (Hadoop, Hive, Hbase, Spark, EMR, etc.) Experience building complex software systems that have been successfully delivered to customers Experience with building high-performance, highly-available and scalable distributed systems Experience successfully mentoring junior DEs Experience with Machine Learning/deep learning development projects High attention to detail and proven ability to manage multiple, competing priorities simultaneously Passion for building great solutions which directly impact customers Experience working in a fast-paced environment where continuous innovation is desired', ' Are you passionate about building tools for complex use cases?', ' 3+ years’ full-time experience working on a software design and development team', ' Experience building complex software systems that have been successfully delivered to customers', ' 5+ years of experience as a Data Engineer, BI Engineer, Systems Analyst in a company with large, complex data sources', ' 3+ years of experience as a Data Engineer or in a similar role', 'Description', ' Are you excited about working directly to empower users? Love to get your hands dirty and solve challenging technical issues? Are you passionate about building tools for complex use cases?', ' Experience with data modeling, data warehousing, and building ETL pipelines', ' Experience with building high-performance, highly-available and scalable distributed systems', ' Ability to communicate clearly and concisely with technical and non-technical customers in order to understand ambiguous problems and articulate technical designs and solutions to complex problem', ' Passion for building great solutions which directly impact customers', ' Experience working in a fast-paced environment where continuous innovation is desired', ' Experience in SQL', ' Are you excited about working directly to empower users?', ' Experience of having built and delivered multiple large scale, cross-functional projects', 'Basic Qualifications', ' Domain knowledge of Distributed SOA Architecture, Relational DB knowledge, ElasticSearch, DynamoDB, and various AWS technologies', ' Experience successfully mentoring junior DEs', ' BS/MS in Computer Science or equivalent industry experience', ' 3+ years of experience as a Data Engineer or in a similar role Experience with data modeling, data warehousing, and building ETL pipelines Experience in SQL Experience working with AWS big data technologies (EMR, Redshift, S3, AWS Glue, Kinesis and Lambda for Serverless ETL) Experience of distributed systems as it pertains to data storage and computing Experience of having built and delivered multiple large scale, cross-functional projects Willingness to dive deep, experiment rapidly and get things done Ability to communicate clearly and concisely with technical and non-technical customers in order to understand ambiguous problems and articulate technical designs and solutions to complex problem Experience with agile methodologies, coding standards, code reviews, source control management, build processes, testing, and operations']",Not Applicable,Full-time,Strategy/Planning,Computer Software,2021-03-24 13:05:10
Data Engineer,Capital One,"Wilmington, DE",2 days ago,31 applicants,"['', '2+ years of experience with NoSQL implementation (Mongo, Cassandra) ', 'Bachelor’s Degree At least 2 years of experience in application developmentAt least 1 years of experience in big data technologies (Cassandra, Accumulo, HBase, Spark, Hadoop, HDFS, AVRO, MongoDB, or Zookeeper)', ' slides 76-91', '1+ year experience working on streaming data applications (Spark Streaming, Kafka, Kinesis, and Flink', 'At least 2 years of experience in application development', 'Preferred Qualifications', 'Bachelor’s Degree ', 'Collaborate with digital product managers, and deliver robust cloud-based solutions that drive powerful experiences to help millions of Americans achieve financial empowerment', 'Capital One Data Engineer', '2+ years of experience developing Java based software solutions ', '2+ years of experience developing software solutions to solve complex business problems', ""Master's Degree 3+ years of experience in application development1+ year experience working on streaming data applications (Spark Streaming, Kafka, Kinesis, and Flink1+ years of experience with a public cloud (AWS, Microsoft Azure, Google Cloud)1+ years of experience with Ansible / Terraform2+ years of experience with Agile engineering practices 2+ years in-depth experience with the Hadoop stack (MapReduce, Pig, Hive, Hbase) 2+ years of experience with NoSQL implementation (Mongo, Cassandra) 2+ years of experience developing Java based software solutions 2+ years of experience in at least one scripting language (Python, Perl, JavaScript, Shell) 2+ years of experience developing software solutions to solve complex business problems2+ years of experience with UNIX/Linux including basic commands and shell scripting"", 'Share your passion for staying on top of tech trends, experimenting with and learning new technologies, participating in internal & external technology communities, and mentoring other members of the engineering community', '2+ years of experience with Agile engineering practices ', 'At least 1 years of experience in big data technologies (Cassandra, Accumulo, HBase, Spark, Hadoop, HDFS, AVRO, MongoDB, or Zookeeper)', 'diversity & inclusion', 'inclusive,', '#lifeatcapitalone', 'Utilize programming languages like Java, Scala, Python and Open Source RDBMS and NoSQL databases and Cloud based data warehousing services such as Snowflake', 'Collaborate with and across Agile teams to design, develop, test, implement, and support technical solutions in full-stack development tools and technologies', 'What You’ll Do', '2+ years of experience in at least one scripting language (Python, Perl, JavaScript, Shell) ', ""Master's Degree "", 'Perform unit tests and conducting reviews with other team members to make sure your code is rigorously designed, elegantly coded, and effectively tuned for performance', '2+ years in-depth experience with the Hadoop stack (MapReduce, Pig, Hive, Hbase) ', '2+ years of experience with UNIX/Linux including basic commands and shell scripting', 'Work with a team of developers with deep experience in machine learning, distributed microservices, and full stack systems', 'Basic Qualifications', 'Collaborate with and across Agile teams to design, develop, test, implement, and support technical solutions in full-stack development tools and technologiesWork with a team of developers with deep experience in machine learning, distributed microservices, and full stack systemsUtilize programming languages like Java, Scala, Python and Open Source RDBMS and NoSQL databases and Cloud based data warehousing services such as SnowflakeShare your passion for staying on top of tech trends, experimenting with and learning new technologies, participating in internal & external technology communities, and mentoring other members of the engineering communityCollaborate with digital product managers, and deliver robust cloud-based solutions that drive powerful experiences to help millions of Americans achieve financial empowermentPerform unit tests and conducting reviews with other team members to make sure your code is rigorously designed, elegantly coded, and effectively tuned for performance', '3+ years of experience in application development', '1+ years of experience with Ansible / Terraform', '1+ years of experience with a public cloud (AWS, Microsoft Azure, Google Cloud)']",Associate,Full-time,Information Technology,Banking,2021-03-24 13:05:10
Data Engineer,Palladium Consulting,"Houston, TX",17 hours ago,42 applicants,"['', 'Knowledge of message queuing, stream processing, and scalable data stores', 'Some SQL experience', 'Occasional travel to meet new clients and solve problems with them (once that’s a thing again)', 'Requirements', 'Data transforming, massaging, cleaning, merging, parsing', 'Benefits', 'Some knowledge of AWS and GCP technologies', 'R experience a plus', 'Working with large data sets', ' Working with large data sets Data transforming, massaging, cleaning, merging, parsing Python expert Experience with pandas Some SQL experience Some knowledge of AWS and GCP technologies R experience a plus Knowledge of message queuing, stream processing, and scalable data stores Occasional travel to meet new clients and solve problems with them (once that’s a thing again) ', 'Experience with pandas', 'Python expert']",Entry level,Full-time,Information Technology,Information Technology and Services,2021-03-24 13:05:10
Data Engineer,Lockheed Martin,"Fort Worth, TX",1 week ago,Be among the first 25 applicants,"['', 'Developing CI/CD pipelines to manage effective changes to multiple infrastructure foot prints', ' Develop and implement automated regression test plans', 'Managing and creating ETL processes to prepare data for consumption', 'Creating monitoring capabilities to ensure data streams are effective and active', 'Ingesting Data from Batch and Streaming processes to load it into our Data Lake']",Entry level,Full-time,Information Technology,Construction,2021-03-24 13:05:10
Data Engineer,Cedar,"New York, NY",22 hours ago,60 applicants,"['', 'The ability to impact the growth of our company, we value all comments and suggestions', ' Build and optimize the process of analytics aggregations and experimentation data pipelines Collaborate with data scientists, analysts, product managers and business development teams to understand data needs and transform these into usable data products. Partner with Analytics to systematize and scale high-integrity value-oriented analysis. Partner with other engineering teams to guide refactors of existing data infrastructure to improve data quality and features. Identify and resolve issues that may negatively impact data product timelines or quality. Troubleshoot transformations for data consistency and integrity. ', 'Strong computer science fundamentals - a degree in computer science, engineering, or a related field or similar experience', '3+ years experience in designing, building and maintaining data pipelines.', 'Experience working with relational databases, such as PostgreSQL, or MySQL', 'Collaborate with data scientists, analysts, product managers and business development teams to understand data needs and transform these into usable data products.', 'Transparency across teams and interaction with multiple departments', ' 3+ years experience in designing, building and maintaining data pipelines. Experience working with relational databases, such as PostgreSQL, or MySQL Experience with Python and ORM tools such as SQL Alchemy Solid understanding of data warehouse Demonstrates a passion for breaking down and understanding complex systems and data structures A great teammate with excellent communication and listening skills. Ability to thrive in an entrepreneurial environment, comfortable with ambiguity Excited about Cedar’s mission of improving the healthcare financial experience Encompass Cedar’s core values: mission driven, no mediocrity, use good judgement, positivity Strong computer science fundamentals - a degree in computer science, engineering, or a related field or similar experience Eligible to work in the United States ', 'Competitive pay, employer-paid healthcare, stock options', 'What do we offer to the ideal candidate?', ' Experience with AWS data services/tools such as Redshift, S3, Athena, Glue is preferred. Experience with data warehouse or data lake solutions such as Snowflake, BigQuery, Redshift Experience with MapReduce, Hadoop, Spark is preferred ', 'Build and optimize the process of analytics aggregations and experimentation data pipelines', 'Experience with MapReduce, Hadoop, Spark is preferred', ' An opportunity to work on a platform that is scaling very rapidly, engaging with millions of patients per year and growing at a rate of 360% YoY as of January 2021 A chance to join a high-growth company at an early stage The ability to impact the growth of our company, we value all comments and suggestions Transparency across teams and interaction with multiple departments Competitive pay, employer-paid healthcare, stock options ', 'A chance to join a high-growth company at an early stage', 'A great teammate with excellent communication and listening skills.', 'Prefered Skills And Experiences', 'Ability to thrive in an entrepreneurial environment, comfortable with ambiguity', 'Responsibilities', 'Solid understanding of data warehouse', 'An opportunity to work on a platform that is scaling very rapidly, engaging with millions of patients per year and growing at a rate of 360% YoY as of January 2021', 'Experience with Python and ORM tools such as SQL Alchemy', 'Experience with AWS data services/tools such as Redshift, S3, Athena, Glue is preferred.', 'Skills And Experience', ' Cedar is committed to a flexible work environment, so this as well as many of our roles are remote friendly.Responsibilities Build and optimize the process of analytics aggregations and experimentation data pipelines Collaborate with data scientists, analysts, product managers and business development teams to understand data needs and transform these into usable data products. Partner with Analytics to systematize and scale high-integrity value-oriented analysis. Partner with other engineering teams to guide refactors of existing data infrastructure to improve data quality and features. Identify and resolve issues that may negatively impact data product timelines or quality. Troubleshoot transformations for data consistency and integrity. Skills And Experience 3+ years experience in designing, building and maintaining data pipelines. Experience working with relational databases, such as PostgreSQL, or MySQL Experience with Python and ORM tools such as SQL Alchemy Solid understanding of data warehouse Demonstrates a passion for breaking down and understanding complex systems and data structures A great teammate with excellent communication and listening skills. Ability to thrive in an entrepreneurial environment, comfortable with ambiguity Excited about Cedar’s mission of improving the healthcare financial experience Encompass Cedar’s core values: mission driven, no mediocrity, use good judgement, positivity Strong computer science fundamentals - a degree in computer science, engineering, or a related field or similar experience Eligible to work in the United States Prefered Skills And Experiences Experience with AWS data services/tools such as Redshift, S3, Athena, Glue is preferred. Experience with data warehouse or data lake solutions such as Snowflake, BigQuery, Redshift Experience with MapReduce, Hadoop, Spark is preferred What do we offer to the ideal candidate? An opportunity to work on a platform that is scaling very rapidly, engaging with millions of patients per year and growing at a rate of 360% YoY as of January 2021 A chance to join a high-growth company at an early stage The ability to impact the growth of our company, we value all comments and suggestions Transparency across teams and interaction with multiple departments Competitive pay, employer-paid healthcare, stock options Applicants must be currently authorized to work in the United States on a full-time basis. Cedar will not hire any applicants for Data Engineer who are present in the United States on an F-1 visa', 'Applicants must be currently authorized to work in the United States on a full-time basis. Cedar will not hire any applicants for Data Engineer who are present in the United States on an F-1 visa', 'Data Engineer', 'Excited about Cedar’s mission of improving the healthcare financial experience', 'Demonstrates a passion for breaking down and understanding complex systems and data structures', 'Encompass Cedar’s core values: mission driven, no mediocrity, use good judgement, positivity', 'Eligible to work in the United States', 'Partner with Analytics to systematize and scale high-integrity value-oriented analysis.', 'Experience with data warehouse or data lake solutions such as Snowflake, BigQuery, Redshift', 'Partner with other engineering teams to guide refactors of existing data infrastructure to improve data quality and features.', 'Identify and resolve issues that may negatively impact data product timelines or quality. Troubleshoot transformations for data consistency and integrity.']",Entry level,Full-time,Information Technology,Hospital & Health Care,2021-03-24 13:05:10
Data Engineer,Quadrant Resource ,"Redmond, WA",17 hours ago,51 applicants,"['strong skills (Azure, BI, DW, AS, Big Data), please make sure to check analytics skillset (TABULAR MODEL/SSAS/CUBES) as well along side of DE.', 'TABULAR MODEL/SSAS/CUBES', 'needs someone strong in Big Data who can work as an individual contributor- This resource will work from end-to end process, getting data from sources to build the cubes. In short, needs a strong data engineer with strong Big data technologies expertise who should have experience in building cubes as well.', ' ', 'Azure, BI, DW, AS, Big Data', ' needs someone strong in Big Data who can work as an individual contributor- This resource will work from end-to end process, getting data from sources to build the cubes. In short, needs a strong data engineer with strong Big data technologies expertise who should have experience in building cubes as well.', 'Best Regards']",Mid-Senior level,Contract,Information Technology,Information Technology and Services,2021-03-24 13:05:10
