job_title,company,company_rating,location,job_text,date
Data Engineer,Everytown for Gun Safety,2 out of 5,"Washington, DC",Knowledge of CRM & Donation Data Schemas,2020-07-25 14:05:21
Chief Engineer,Monday Properties,3 out of 5,"Arlington, VA 22209",No,2020-07-25 14:05:21
Data Engineer,"Corvium, Inc.",N/A,"Arlington, VA 22209",Temporarily due to COVID-19,2020-07-25 14:05:21
Data Engineer,Fayetteville Public Works Commission,4.3 out of 5,"Fayetteville, NC 28301",Temporarily due to COVID-19,2020-07-25 14:05:21
Data Engineer,Elder Research Inc,N/A,"Fayetteville, NC 28301"," Manage and monitor pipelines to extract, transform, and load data (ETL).",2020-07-25 14:05:21
Data Engineer (Remote),kraken,3.9 out of 5,Remote,"
Experience with business requirements gathering for data sourcing",2020-07-25 14:05:21
Data Test Engineer (Python/Data/SQL),CompGain LLC,N/A,Remote,Temporarily due to COVID-19,2020-07-25 14:05:21
Data Engineer,Chance River,N/A,Remote,Possible,2020-07-25 14:05:21
Data Cybersecurity Engineer,"A4SAFE, Inc.",N/A,Remote,www.A4SAFE.com,2020-07-25 14:05:21
Data Engineer,IBM,3.9 out of 5,"Washington, DC 20001","
Work modularly to maximize ability to address new visualization needs as data, threats, and relationships change",2020-07-25 14:05:21
Data Engineer,Amazon.com Services LLC,3.6 out of 5,"Arlington, VA 22202","1+ year of experience as the BI SME (Business Analyst or BIE) on business operations, working directly with business stakeholders",2020-07-25 14:05:21
Data Centre Engineer,IQuasar,N/A,"Arlington, VA 22202",No,2020-07-25 14:05:21
DATA ENGINEER APPRENTICE,Digital Creative Institute,5 out of 5,"Job, WV",Reverse knowledge transfer to document the process of support and maintenance,2020-07-25 14:05:21
Data Engineer,Mondo,N/A,"Job, WV",AWS experience,2020-07-25 14:05:21
Data and Analytics Software Engineer - Entry Level,Farlinium,N/A,"Job, WV",Only full-time employees eligible,2020-07-25 14:05:21
Data Engineer II,Indeed,4.3 out of 5,"Austin, TX 78731",Demonstrated knowledge of SQL.,2020-07-25 14:06:08
Data Science Research Engineer,Intelligent Automation,4 out of 5,"Rockville, MD 20855","
A Master’s degree (or higher) in computer science, engineering, mathematics, physics or related field is required",2020-07-25 14:06:08
Data Engineer,Mondo,N/A,"Rockville, MD 20855",AWS experience,2020-07-25 14:06:08
Data Movement Engineer (nifi),"Clarity Innovations, LLC",N/A,"Rockville, MD 20855",Temporarily due to COVID-19,2020-07-25 14:06:08
Data Engineer (Business Objects),Brickred,N/A,"Rockville, MD 20855",Temporarily due to COVID-19,2020-07-25 14:06:08
Data Engineer,Clairvoyant LLC,N/A,"Rockville, MD 20855",Temporarily due to COVID-19,2020-07-25 14:06:08
Data Engineer,Amazon.com Services LLC,3.6 out of 5,"Arlington, VA 22202","1+ year of experience as the BI SME (Business Analyst or BIE) on business operations, working directly with business stakeholders",2020-07-25 14:06:08
Data Center Engineer,IES Communications,N/A,"Arlington, VA 22202",Yes,2020-07-25 14:06:08
Data Engineer,Elder Research Inc,N/A,"Arlington, VA 22202"," Manage and monitor pipelines to extract, transform, and load data (ETL).",2020-07-25 14:06:08
Data Engineer,Booz Allen Hamilton,3.9 out of 5,"Arlington, VA 22202","
Hortonworks, Cloudera, or Big data Certification",2020-07-25 14:06:08
Data Engineer,Next Generation Technology,N/A,"Arlington, VA 22202",Strong SQL skills to process large sets of data,2020-07-25 14:06:08
Software Development Engineer- Big Data,"Amazon Dev Center U.S., Inc.",3.6 out of 5,"Arlington, VA",Meets/exceeds Amazon’s functional/technical depth and complexity for this role,2020-07-25 14:06:08
Data Engineer,"Kingfisher Systems, Inc.",N/A,"Arlington, VA","Experience with SQL, PostGreSQL/PostGIS. Ability to communicate analysis to experts and lay persons alike.",2020-07-25 14:06:08
Data Engineer,Fender,2.9 out of 5,"Los Angeles, CA","Bonus points: Experience with data streaming tools like Kineses, Kafka, Flink, etc.",2020-07-25 14:06:08
Associate Data Engineer,Lowe's,3.6 out of 5,"Mooresville, NC 28117","Master’s Degree in Computer Science, Engineering, or related field",2020-07-25 14:06:08
