job_title,company,company_rating,location,job_text,date
Data Scientist,Vanguard,"3.8 out of 5 from 1,060 employee ratings",N/A,"['Find jobs', 'Company reviews', 'Find salaries', 'Employers', 'Create your resume', 'Change country🇺🇸 United States', 'Help Center', 'Job', 'Company', 'Hiring Lab', 'Career Advice', 'Browse Jobs', 'Browse Companies', 'Salaries', 'Find Certifications', 'Indeed Events', 'Work at Indeed', 'Countries', 'About', 'Help Center', '© 2021 Indeed', 'Do Not Sell My Personal Information', 'Accessibility at Indeed', 'Privacy Center', 'Cookies', 'Privacy', 'Terms']",2021-03-24 16:28:18
Associate Data Scientist - Freemium Analytics (Remote Eligible - Amercias),Spotify,4.3 out of 5 from 62 employee ratings,N/A,"['Find jobs', 'Company reviews', 'Find salaries', 'Employers', 'Create your resume', 'Change country🇺🇸 United States', 'Help Center', 'Develop data driven strategies to drive the growth of Spotify subscribers across the Latin America region.', 'Create and communicate impactful recommendations and models that improve our product offering, user messaging, and channel optimization.', 'Build scalable data pipelines and dashboards to facilitate business performance tracking.', 'Work closely with business partners to understand the change they are driving and help them discover new opportunities for growth.', 'Design and execute comprehensive tests, making sure that we track all relevant metrics and that we’re learning at every step along the way.', 'At least 2+ years of professional experience synthesizing insights from data using tools such as Python, SQL or R. Experience with distributed systems (Redshift, Hadoop, BigQuery) a plus.', 'Intellectually curious, creative, and diligent - you enjoy thinking about the business as much as the data!', 'Have experience collaborating with stakeholders to measure the impact of business/marketing initiatives and presenting those findings in coherent recommendations.', 'Have a background in Economics, Computer Science, Statistics, Engineering or a relevant field.', 'Comfortable working on a globally distributed team (with occasional international travel).', 'We are a distributed workforce enabling our band members to find a work mode that is best for them!', 'Where in the world? For this role, it can be within the Americas region in which we have a work location', 'We ask that our team members be located within Central Standard time zone, Eastern Standard time zone, or Brasília time zone for the purposes of our collaboration hours', 'Prefer an office to work from home instead? Not a problem! We have plenty of options for your working preferences. Find more information about about our Work From Anywhere options here.', 'Working hours? We operate within the Eastern Standard time zone for collaboration', 'Hiring Lab', 'Career Advice', 'Browse Jobs', 'Browse Companies', 'Salaries', 'Find Certifications', 'Indeed Events', 'Work at Indeed', 'Countries', 'About', 'Help Center', '© 2021 Indeed', 'Do Not Sell My Personal Information', 'Accessibility at Indeed', 'Privacy Center', 'Cookies', 'Privacy', 'Terms']",2021-03-24 16:28:18
Data Entry,TransPerfect Translations Inc.,N/A,N/A,"['Find jobs', 'Company reviews', 'Find salaries', 'Employers', 'Create your resume', 'Change country🇺🇸 United States', 'Help Center', 'Part-time or full-time availability.', ""Ability to meet daily KPI's."", 'Excellent time management.', 'Ability to work independently.', 'Flexibility and ability to adapt and react to changing priorities quickly and efficiently.', 'Ability to track, analyze, and report issues.', 'Ability to understand and implement feedback.', 'Find comfort in detail-oriented work.', 'Hiring Lab', 'Career Advice', 'Browse Jobs', 'Browse Companies', 'Salaries', 'Find Certifications', 'Indeed Events', 'Work at Indeed', 'Countries', 'About', 'Help Center', '© 2021 Indeed', 'Do Not Sell My Personal Information', 'Accessibility at Indeed', 'Privacy Center', 'Cookies', 'Privacy', 'Terms']",2021-03-24 16:28:18
Data Scientist,Source Enterprises,4.3 out of 5 from 3 employee ratings,N/A,"['Find jobs', 'Company reviews', 'Find salaries', 'Employers', 'Create your resume', 'Change country🇺🇸 United States', 'Help Center', 'Selecting features, building and optimizing classifiers using machine learning techniques', 'Data mining using state-of-the-art methods', 'Extending company’s data with third party sources of information when needed', 'Enhancing data collection procedures to include information that is relevant for building analytic systems', 'Processing, cleansing, and verifying the integrity of data used for analysis', 'Doing ad-hoc analysis and presenting results in a clear manner', 'Creating automated anomaly detection systems and constant tracking of its performance', 'Stay current on modern trends and advances in data mining technology', 'Work closely with our experts and other team members to efficiently prototype/develop features and functions for our various products', 'Perform other duties as assigned', 'Understanding of machine learning techniques and algorithms, such as: k-NN, Naive Bayes, SVM, Decision Forests, etc.', 'Some knowledge of common data science toolkits, such as R, Weka, NumPy, MatLab, etc', 'Data visualization tools, such as D3.js, GGplot, etc.', 'NoSQL databases, such as MongoDB, Cassandra, HBase, etc.', 'Statistics skills, such as distributions, statistical testing, regression, etc.', 'Data-oriented personality', 'Excellent writing & organizational skills', 'Independent work ethic', 'Detail oriented', 'Strong drive to succeed', 'Entrepreneurial mindset', 'Proactive', 'Good communicator', 'Team player', 'Autonomous', 'Passion for coding, solving problems and working in a team environment', 'Use a provided online productivity platform to organize and keep track of your completed', 'tasks.', 'Hiring Lab', 'Career Advice', 'Browse Jobs', 'Browse Companies', 'Salaries', 'Find Certifications', 'Indeed Events', 'Work at Indeed', 'Countries', 'About', 'Help Center', '© 2021 Indeed', 'Do Not Sell My Personal Information', 'Accessibility at Indeed', 'Privacy Center', 'Cookies', 'Privacy', 'Terms']",2021-03-24 16:28:18
DATA SCIENTIST,Union Hospital of Cecil County,3.5 out of 5 from 53 employee ratings,N/A,"['Find jobs', 'Company reviews', 'Find salaries', 'Employers', 'Create your resume', 'Change country🇺🇸 United States', 'Help Center', 'Lead and provide value driven, quantitative support to multi-faceted projects across ChristianaCare, focused on our value-based care programs.', 'Recognize the operational and technical needs of stakeholders and provide consistent and high-quality results.', 'Design and execute analytic projects utilizing a broad range of system engineering, statistical analysis and other advanced data analysis and predictive analysis techniques including, machine learning, statistical process control, queuing theory, simulation, and optimization.', 'Present analytical techniques, key findings, solutions, and deliverables to the Center for Strategic Information Management and hospital leadership.', 'Contribute to the advancement and dissemination of advanced analytic techniques and data driven clinical analysis both scientifically and operationally.', 'Support the development, implementation, ongoing management, tracking and reporting of a variety of project activities.', 'Produce reports, presentations, and/or white papers pertaining to ongoing and completed projects for ChristianaCare leaders.', 'Master’s degree in Statistics, Industrial and Systems Engineering, Operations Research, Data Science, Computer Science, Economics, Business Analytics, or related quantitative discipline.', 'Experience with Data Warehouse ETL development techniques and tools. Experience with BI user reporting and analysis tools and the overall user experience. Experience working in a Data Warehouse agile development environment.', '5+ years of experience in Information Technology with 2+ years in Data Warehousing and/or Business Intelligence.', 'An equivalent combination of education and experience may be substituted.', 'Healthcare industry experience preferred.', 'Hiring Lab', 'Career Advice', 'Browse Jobs', 'Browse Companies', 'Salaries', 'Find Certifications', 'Indeed Events', 'Work at Indeed', 'Countries', 'About', 'Help Center', '© 2021 Indeed', 'Do Not Sell My Personal Information', 'Accessibility at Indeed', 'Privacy Center', 'Cookies', 'Privacy', 'Terms']",2021-03-24 16:28:18
Senior Data Scientist,Vanguard,"3.8 out of 5 from 1,060 employee ratings",N/A,"['Find jobs', 'Company reviews', 'Find salaries', 'Employers', 'Create your resume', 'Change country🇺🇸 United States', 'Help Center', 'Job', 'Company', 'Minimum of five years related work experience in analytical roles. Experience with data wrangling required - Programming skills to access, transform and prepare large scale data for statistical modeling. Experience utilizing statistical and machine learning methods required.', 'Undergraduate degree in Analytics, Applied Mathematics, Economics, Statistics or related analytical field of study or equivalent combination of training and experience. Graduate degree preferred.', 'Hiring Lab', 'Career Advice', 'Browse Jobs', 'Browse Companies', 'Salaries', 'Find Certifications', 'Indeed Events', 'Work at Indeed', 'Countries', 'About', 'Help Center', '© 2021 Indeed', 'Do Not Sell My Personal Information', 'Accessibility at Indeed', 'Privacy Center', 'Cookies', 'Privacy', 'Terms']",2021-03-24 16:28:18
Data Scientist,Central Intelligence Agency,4.3 out of 5 from 206 employee ratings,N/A,"['Find jobs', 'Company reviews', 'Find salaries', 'Employers', 'Create your resume', 'Change country🇺🇸 United States', 'Help Center', 'Job', 'Company', 'Higher starting salary possible depending on experience level', 'Hiring Lab', 'Career Advice', 'Browse Jobs', 'Browse Companies', 'Salaries', 'Find Certifications', 'Indeed Events', 'Work at Indeed', 'Countries', 'About', 'Help Center', '© 2021 Indeed', 'Do Not Sell My Personal Information', 'Accessibility at Indeed', 'Privacy Center', 'Cookies', 'Privacy', 'Terms']",2021-03-24 16:28:18
DATA SCIENTIST,"ChristianaCare, Union Hospital",N/A,N/A,"['Find jobs', 'Company reviews', 'Find salaries', 'Employers', 'Create your resume', 'Change country🇺🇸 United States', 'Help Center', 'Lead and provide value driven, quantitative support to multi-faceted projects across ChristianaCare, focused on our value-based care programs.', 'Recognize the operational and technical needs of stakeholders and provide consistent and high-quality results.', 'Design and execute analytic projects utilizing a broad range of system engineering, statistical analysis and other advanced data analysis and predictive analysis techniques including, machine learning, statistical process control, queuing theory, simulation, and optimization.', 'Present analytical techniques, key findings, solutions, and deliverables to the Center for Strategic Information Management and hospital leadership.', 'Contribute to the advancement and dissemination of advanced analytic techniques and data driven clinical analysis both scientifically and operationally.', 'Support the development, implementation, ongoing management, tracking and reporting of a variety of project activities.', 'Produce reports, presentations, and/or white papers pertaining to ongoing and completed projects for ChristianaCare leaders.', 'Master’s degree in Statistics, Industrial and Systems Engineering, Operations Research, Data Science, Computer Science, Economics, Business Analytics, or related quantitative discipline.', 'Experience with Data Warehouse ETL development techniques and tools. Experience with BI user reporting and analysis tools and the overall user experience. Experience working in a Data Warehouse agile development environment.', '5+ years of experience in Information Technology with 2+ years in Data Warehousing and/or Business Intelligence.', 'An equivalent combination of education and experience may be substituted.', 'Healthcare industry experience preferred.', 'Masters or better in Computer Science or related field', 'Hiring Lab', 'Career Advice', 'Browse Jobs', 'Browse Companies', 'Salaries', 'Find Certifications', 'Indeed Events', 'Work at Indeed', 'Countries', 'About', 'Help Center', '© 2021 Indeed', 'Do Not Sell My Personal Information', 'Accessibility at Indeed', 'Privacy Center', 'Cookies', 'Privacy', 'Terms']",2021-03-24 16:28:18
Data Scientist,"Two Sigma Investments, LLC.",3.8 out of 5 from 12 employee ratings,N/A,"['Find jobs', 'Company reviews', 'Find salaries', 'Employers', 'Create your resume', 'Change country🇺🇸 United States', 'Help Center', 'Apply statistical analysis & modeling techniques with finance intuition to datasets large and small, advance existing initiatives and open opportunities to pursue new and previously unexplored research topics across a wide variety of industries and domains', 'Operate and extend the data science platform to deliver production-grade data curation and analysis services', 'Own end-to-end data workflows and develop deep domain expertise on the underlying actors and behaviors manifested through data', 'Visualize and explore data sets to enable the ideation and generation of new, predictive feature', '3+ years of experience in data analysis or similar role', 'Advanced degree in Computer Science is preferred', 'Experience applying statistical methods (distribution analysis, classification, clustering, etc.)', 'Strong coding skills with data-frames are a prerequisite, example platforms include Pandas, R, Matlab, and Apache Spark', ""Demonstrated experience highlighting innovation, creativity, and intuition, e.g the ability to laterally identify other sources of useful information and think 'outside the box'"", 'Prior Experience in finance is not required', 'Core Benefits: Fully paid medical and dental insurance premiums for employees and dependents, competitive 401k match, employer-paid life & disability insurance', 'Perks: Onsite gyms with laundry service, wellness activities, casual dress, snacks, game rooms', 'Learning: Tuition reimbursement, conference and training sponsorship', 'Time Off: Generous vacation and unlimited sick days, competitive paid caregiver leaves', 'Hiring Lab', 'Career Advice', 'Browse Jobs', 'Browse Companies', 'Salaries', 'Find Certifications', 'Indeed Events', 'Work at Indeed', 'Countries', 'About', 'Help Center', '© 2021 Indeed', 'Do Not Sell My Personal Information', 'Accessibility at Indeed', 'Privacy Center', 'Cookies', 'Privacy', 'Terms']",2021-03-24 16:28:18
Data Science Intern,Noodle,4.4 out of 5 from 14 employee ratings,N/A,"['Find jobs', 'Company reviews', 'Find salaries', 'Employers', 'Create your resume', 'Change country🇺🇸 United States', 'Help Center', 'Assist with feature requests for existing Tableau Dashboards, leveraging SQL heavily.', 'Help build or improve a prospect scoring machine learning pipeline using AWS Sagemaker.', 'Write logical tests for SQL views (“Data Mart”) that drive our reporting.', 'Work with the Data Science Product Manager to learn processes and rituals that help us work cross-functionally and understand our users’ requirements.', 'Take part in day-to-day team activities and other assigned duties', 'are community oriented - they have a group-first mentality, are generous with their time and energy and always express gratitude for their teammates’ contributions', 'are intellectually curious', 'are comfortable working in collaborative environments online', 'have excellent verbal and written communication skills', 'are comfortable creating documentation in industry-standard software', 'can effectively manage their schedules and projects', 'have a growth mindset', 'Hiring Lab', 'Career Advice', 'Browse Jobs', 'Browse Companies', 'Salaries', 'Find Certifications', 'Indeed Events', 'Work at Indeed', 'Countries', 'About', 'Help Center', '© 2021 Indeed', 'Do Not Sell My Personal Information', 'Accessibility at Indeed', 'Privacy Center', 'Cookies', 'Privacy', 'Terms']",2021-03-24 16:28:18
