job_title,company,location,date_posted,applicants,job_text,seniority_level,employment_type,job_function,industries,date_scraped
Data Scientist,Nike,"Beaverton, OR",20 hours ago,69 applicants,"['', 'Solid skills in programming languages (particularly Python and SQL) and ability to apply them for data acquisition, preprocessing, modeling and monitoring.', 'Apply analytics methods to acquire, explore, cleanse, and fuse data from different sources.', 'What You Will Work On', 'Assist in the design of analytics solutions and the identification of the best method for a problem based on business requirements and constraints.', 'Excellent written and verbal communication skills, including ability to develop and deliver presentation.', 'Contribute to building, scoring, deploying, monitoring, updating and promoting Nike’s central forecasting platform.', 'Participate in a continuous learning environment within the advanced analytics community through persistent development of new skills and sharing of knowledge through mentorships and contributions to the open source community.', 'Demonstrated understanding of market demand and supply interactions, data structures, data science methods, and machine learning algorithms.', ' Advanced quantitative degree (Statistics, Mathematics, Economics, Computer Science or related field) and at least 3 years of relevant industry experience or Bachelor’s degree and at least 5 years of relevant professional experience. Demonstrated understanding of market demand and supply interactions, data structures, data science methods, and machine learning algorithms. Solid skills in programming languages (particularly Python and SQL) and ability to apply them for data acquisition, preprocessing, modeling and monitoring. Familiarity with common data science/analytics software tools (e.g. Jupyter Notebook, SQL consoles, Hadoop, Spark) and cloud computing platforms (e.g. Amazon Web Services). Experience in building, training, scoring, tuning and maintaining predictive models in production at enterprise scale and familiarity with mainstream packages relevant to managing all stages of Data Science/Analytics lifecycle. Familiarity with the Agile development process and Ability to work cross functionally and evaluate complex business information from multiple perspectives, including questioning assumptions and validity. Excellent written and verbal communication skills, including ability to develop and deliver presentation.', 'Facilitate the planning, scheduling and value measurement of the work to meet timeline targets and success criteria.', 'Support the adoption of analytic products through effective storytelling and collaboration with key partners.', ' Collaborate with other squad members to develop new sophisticated algorithms and improve existing approaches based on statistical/econometric methods, machine learning techniques and big data solutions to forecast consumer demand and determine optimal level of investment in various stages of the supply chain. Assist in the design of analytics solutions and the identification of the best method for a problem based on business requirements and constraints. Apply analytics methods to acquire, explore, cleanse, and fuse data from different sources. Contribute to building, scoring, deploying, monitoring, updating and promoting Nike’s central forecasting platform. Facilitate the planning, scheduling and value measurement of the work to meet timeline targets and success criteria. Support the adoption of analytic products through effective storytelling and collaboration with key partners. Participate in a continuous learning environment within the advanced analytics community through persistent development of new skills and sharing of knowledge through mentorships and contributions to the open source community. ', 'Collaborate with other squad members to develop new sophisticated algorithms and improve existing approaches based on statistical/econometric methods, machine learning techniques and big data solutions to forecast consumer demand and determine optimal level of investment in various stages of the supply chain.', 'Advanced quantitative degree (Statistics, Mathematics, Economics, Computer Science or related field) and at least 3 years of relevant industry experience or Bachelor’s degree and at least 5 years of relevant professional experience.', 'Familiarity with common data science/analytics software tools (e.g. Jupyter Notebook, SQL consoles, Hadoop, Spark) and cloud computing platforms (e.g. Amazon Web Services).', 'Experience in building, training, scoring, tuning and maintaining predictive models in production at enterprise scale and familiarity with mainstream packages relevant to managing all stages of Data Science/Analytics lifecycle.', 'Who We Are Looking For', 'Familiarity with the Agile development process and Ability to work cross functionally and evaluate complex business information from multiple perspectives, including questioning assumptions and validity.', 'What You Bring']",Entry level,Full-time,Engineering,Marketing and Advertising,2021-02-16 15:32:09
Machine Learning Engineer,Nuuly,"Newark, NJ",15 hours ago,Be among the first 25 applicants,"['Experience deploying machine learning models in production ', 'Implementation: Work with the team to implement and maintain the ML architecture, including data pipelines and applications that enable training and inference of ML models in production. ', 'Deployment: Work with the team to implement and maintain automated monitoring of deployed models to assess their performance, uptime, etc. Desired Skills/Experience: ', 'Familiarity with machine learning approaches and terminology. Understanding of the practical aspects of ML, e.g. train/dev/test sets, precision and recall, overfitting, hyperparameter tuning, etc. Experience with any of the following is a plus, but not required: They can be learned on the job: ', 'Distributed computing systems (Hadoop, Spark, etc.) ', 'Cloud platforms (Google Cloud Platform, Amazon Web Services, Microsoft Azure, etc.) ', 'Streaming data tools (Kafka, Kinesis, Pub/Sub, etc.) ', 'Kubernetes ', 'Docker Urban Outfitters, Inc. celebrates diversity and is committed to creating an inclusive environment for all employees. We are proud to provide equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability, genetics, sexual orientation, gender identity or gender expression. We believe strongly in fostering a safe, fair and respectful work environment. To ensure compliance with our non-discrimination and anti-harassment policies, we offer anti-harassment training to managers and employees.SDL2019-1032', 'Cloud infrastructure (Virtual Machines, Cloud Storage, IAM, etc.) ', 'Design: Work with the team to design architectures for offline training and real-time deployment of machine learning models that meet feature requirements. Requirements that often drive architectural decisions include ML model format and training language, inference latency, training/inference cost, retraining frequency, and many others. ', 'ML tools (TensorFlow, pyTorch, scikit learn, Jupyter Notebooks, etc.) ', 'Datastores (relational databases, wide column stores, document stores, etc.) ', 'Experimentation: Perform exploratory proof-of-concept studies to evaluate potential deployment architectures and to evaluate new technologies. ', 'Data or ML orchestration frameworks (Kubeflow, MLflow, Airflow, etc.) ', 'Strong coding skills and software development experience. Proficiency in Python is required ']",Entry level,Full-time,Engineering,Retail,2021-02-16 15:32:09
Data Scientist,Five Below,"Philadelphia, PA",2 hours ago,Be among the first 25 applicants,"['', 'Special projects as required.', 'Enthusiasm for answering complex business questions and developing practical solutions.', 'The Five Below Way', 'Ability to convey complex analyses clearly in order to improve decisions and enhance processes.', 'Qualifications:', 'Five Below is an Equal Opportunity Employer', 'Answer complex business problems, optimize processes, or enhance automation.Develop innovative statistical techniques to enable improved forecasting, summarization, classification, and optimization.Create compelling analyses and visualizations to improve business decisions and processes.Enhance cross functional analytical capabilities in focus areas such as customer analytics (e.g. segmentation, personalization, targeting), digital (e.g. site analytics, recommendation, omnichannel integration), inventory management (e.g. demand forecasting, allocation, optimization), and supply chain strategy (e.g. network optimization, order management, visibility).Partner with the technology organization to enhance data management and develop analytical capabilities.Support adoption of analytical approaches by partnering with key business functions.Special projects as required.', 'Let Go & Have Fun', 'Partner with the technology organization to enhance data management and develop analytical capabilities.', 'Enhance cross functional analytical capabilities in focus areas such as customer analytics (e.g. segmentation, personalization, targeting), digital (e.g. site analytics, recommendation, omnichannel integration), inventory management (e.g. demand forecasting, allocation, optimization), and supply chain strategy (e.g. network optimization, order management, visibility).', 'Job Responsibilities:', 'WOW', 'Extensive experience with large data sets, statistical analyses, and visualization as well as related tools (e.g. SQL, Python, SAS, R, Matlab, Tableau, Power BI).', 'Develop innovative statistical techniques to enable improved forecasting, summarization, classification, and optimization.', 'Support adoption of analytical approaches by partnering with key business functions.', 'Answer complex business problems, optimize processes, or enhance automation.', 'It’s all about culture at Five Below, making this a place that can inspire you as much as you inspire us with big ideas, super energy, passion, and the ability to make the workplace a\xa0WOWplace!', 'At Five Below our growth is a result of the people who embrace our purpose: We know life is way better when you are free to\xa0Let Go & Have Fun\xa0in an amazing experience, filled with unlimited possibilities, priced so low, you can always say yes to the newest, coolest stuff! Just ask any of our over 17,000\xa0associates who work at Five Below and they’ll tell you there’s no other place like it. It all starts with our purpose and then,\xa0The Five Below Way, which is our values and behaviors that each and every associate believes in.', 'Master’s Degree required (Ph.D. preferred) in relevant technical field (e.g. Computer Science, Engineering, Mathematics, Physical Sciences, or Economics).', 'Master’s Degree required (Ph.D. preferred) in relevant technical field (e.g. Computer Science, Engineering, Mathematics, Physical Sciences, or Economics).Enthusiasm for answering complex business questions and developing practical solutions.Extensive experience with large data sets, statistical analyses, and visualization as well as related tools (e.g. SQL, Python, SAS, R, Matlab, Tableau, Power BI).Ability to convey complex analyses clearly in order to improve decisions and enhance processes.', 'Company Description:', 'Create compelling analyses and visualizations to improve business decisions and processes.']",Mid-Senior level,Full-time,Information Technology,Retail,2021-02-16 15:32:09
Machine Learning Engineer,HP,"San Diego, CA",19 hours ago,Be among the first 25 applicants,"['', 'Leads a project team of data science professionals, assuring insights are communicated regularly and effectively, reviewing designs, models, accuracy and data compliance. ', 'Strong analytical and problem-solving skills. Excellent written and verbal communication skills; mastery in English and local language. ', 'Conversant in Python and one or more programming languages such as Golang, Java, or Scala ', 'In-depth knowledge of one or more deep learning areas such as computer vision or natural language processing History of contributions to open source projects such as projects hosted on GitHub, SourceForge, or OSDN. Prior participation in data science competitions such as Kaggle, DrivenData, or CodaLab. ', ""Master's or PhD degree in Computer Science, Mathematics, Economics, Physics, or equivalent. Typically 4-6 years’ experience including graduate or postgraduate research."", 'Preferred', 'Responsibilities', 'In This Highly Visible Role, You Will', 'Education & Experience', 'Knowledge & Skills', 'Collaborates with peers, junior engineers, data scientists, and project team. ', 'Lay the foundation for new products and services by developing new technical solutions to difficult problems. ', 'Excellent written and verbal communication skills; mastery in English and local language. ', 'Typically interacts with high-level Individual Contributors, Managers, and Program Teams. ', 'Work in all phases of building, deploying, and evaluating machine learning applications ', 'Ability to create models to pull valuable insights from data. ', 'Leads a project team of data science professionals, assuring insights are communicated regularly and effectively, reviewing designs, models, accuracy and data compliance. Collaborates and communicates with the project team regarding project progress and issue resolution. Represents the data science team for all phases of larger and more-complex development projects. Provides guidance, training, and mentoring to less experienced staff members. ', 'Typically 4-6 years’ experience including graduate or postgraduate research.', 'History of contributions to open source projects such as projects hosted on GitHub, SourceForge, or OSDN. ', 'Maintains proficiency within the data science domain by keeping up with technology and trend shifts. ', 'Typically interacts with high-level Individual Contributors, Managers, and Program Teams. Leads a project requiring data engineering solutions development. ', 'Some Of Our Areas Of Interest Include', 'Possess a background in linear algebra, statistics, or multivariate calculus. ', 'Strong understanding of classical ML techniques and time-series forecasting. ', 'Mines data using modern tools and programming languages. ', 'Provides guidance, training, and mentoring to less experienced staff members. ', ""Master's or PhD degree in Computer Science, Mathematics, Economics, Physics, or equivalent. "", ' Natural Language Processing, including sentiment analysis, text summarization, and conversational interfaces', 'Work in a cross-functional team environment. Communicate your results internally within Personal System software. ', ' Predictive Analytics, including failure prediction, time-series forecasting, anomaly detection, and root cause analysis', 'In-depth knowledge of one or more deep learning areas such as computer vision or natural language processing ', 'Extensive experience using statistics, mathematics, algorithms, and programming languages. Possess a background in linear algebra, statistics, or multivariate calculus. Strong understanding of classical ML techniques and time-series forecasting. Understands data management principles along with model evaluation and training techniques for neural networks. ', 'Prior participation in data science competitions such as Kaggle, DrivenData, or CodaLab. ', 'Scope & Impact', ' MLOps, along with integration with software development lifecycles and continuous integration/continuous delivery', 'Works with the business to understand the business domain perspective. ', 'Understands data management principles along with model evaluation and training techniques for neural networks. ', 'Strong analytical and problem-solving skills. ', 'Conversant in Python and one or more programming languages such as Golang, Java, or Scala Enjoys working in a geographically distributed environment Ability to create models to pull valuable insights from data. Create stories and visualizations to describe and communicate data insights. Ability to use creativity to spot trends and tease out patterns in large datasets. ', 'Represents the data science team for all phases of larger and more-complex development projects. ', 'Create stories and visualizations to describe and communicate data insights. ', ' Recommendation systems, including content customization and customer engagement improvement', 'Effectively tells stories with the data using visualization tools/methods to demonstrate insight impact and business value. ', 'Defines and implements models to uncover patterns and predictions creating business value and innovation. Works with the business to understand the business domain perspective. Effectively tells stories with the data using visualization tools/methods to demonstrate insight impact and business value. Assures accuracy, integrity, and compliance of cleansed data. Maintains proficiency within the data science domain by keeping up with technology and trend shifts. ', 'Leads a project requiring data engineering solutions development. ', 'Work in all phases of building, deploying, and evaluating machine learning applications Lay the foundation for new products and services by developing new technical solutions to difficult problems. ', 'Minimum', 'Collaborates and communicates with the project team regarding project progress and issue resolution. ', ' Machine Vision, including demographics analysis, people tracking, object recognition, and scene understanding', 'Experience in one or more deep learning frameworks such as Tensorflow/Keras, or PyTorch. ', 'Enjoys working in a geographically distributed environment ', 'Defines and implements models to uncover patterns and predictions creating business value and innovation. ', 'Communicate your results internally within Personal System software. ', 'Assures accuracy, integrity, and compliance of cleansed data. ', 'Extensive experience using statistics, mathematics, algorithms, and programming languages. ', 'Ability to use creativity to spot trends and tease out patterns in large datasets. ', 'Work in a cross-functional team environment. ']",Not Applicable,Full-time,Engineering,Computer Hardware,2021-02-16 15:32:09
Machine Learning Engineer - Remote Position,Zillow,"Tacoma, WA",39 minutes ago,Be among the first 25 applicants,"['', 'Experience working with product managers, real estate partners and/or platform teams (infrastructure, data engineering, etc.)', 'We largely use Python, but fluency in Scala, Java, and/or C++ is also acceptable', 'Experience working with cloud platforms (e.g., AWS, GCP, Azure)', 'About The Role', 'Zillow Group is an equal opportunity employer committed to fostering an inclusive, innovative environment with the best employees. Therefore, we provide employment opportunities without regard to age, race, color, ancestry, national origin, religion, disability, sex, gender identity or expression, sexual orientation, or any other protected status in accordance with applicable law. If there are preparations we can make to help ensure you have a comfortable and positive interview experience, please let us know.', 'Self-starter who takes initiative, receives feedback well and has a positive attitude', 'Experience building data pipelines with distributed processing frameworks (e.g., Apache Spark)', 'Experience supporting and collaborating with scientistsExperience working with product managers, real estate partners and/or platform teams (infrastructure, data engineering, etc.)Experience working at a large technology company with various stakeholders and decision makersExperience building data pipelines with distributed processing frameworks (e.g., Apache Spark)', 'About The Team', 'Experience supporting and collaborating with scientists', 'Experience working at a large technology company with various stakeholders and decision makers', '1+ years of hands-on machine learning experience using ML infrastructure to serve models and ship.', 'Real-world experience building and deploying machine learning and data systems (ideally, 3-5 years of software development engineering experience involving machine learning)1+ years of hands-on machine learning experience using ML infrastructure to serve models and ship.We largely use Python, but fluency in Scala, Java, and/or C++ is also acceptableFamiliarity with Python scientific stack (e.g., numpy, pandas, matplotlib, scikit-learn)Experience working with cloud platforms (e.g., AWS, GCP, Azure)Passion for machine learning engineering & Zillow OffersSelf-starter who takes initiative, receives feedback well and has a positive attitude', 'Familiarity with Python scientific stack (e.g., numpy, pandas, matplotlib, scikit-learn)', 'Real-world experience building and deploying machine learning and data systems (ideally, 3-5 years of software development engineering experience involving machine learning)', 'Passion for machine learning engineering & Zillow Offers']",Entry level,Full-time,Information Technology,Marketing and Advertising,2021-02-16 15:32:09
Data Scientist,Georgia-Pacific LLC,"Atlanta, GA",19 hours ago,31 applicants,"['', 'Bachelor’s Degree or higher in a field related to data science such as Mathematics, Statistics, Computer Science, Engineering, Data Science, or Business Analytics.2 or more years of experience creatively applying machine learning, outside of academic datasets, using a formal programming language (Python, R, SAS).2 or more years of technical and analytical problem-solving experienceExperience working with SAS Code for the purpose of statistics or machine learningExperience with analyzing time series. Must be able to clean, manipulate, analyze, and model time series data in both SAS and open-source technologiesExperience in data science that encompass having multiple models deployed to production with successful outcomes for usersExperience manipulating data, computing, memory, optimization; experience with cloud computing (AWS)Experience working with unsupervised and supervised machine learningExperience working with large data sets (>50 GB)', ""Master's Degree or higher in a field related to data science such as Mathematics, Statistics, Computer Science, Engineering, Data Science, or Business Analytics."", '2 or more years of experience creatively applying machine learning, outside of academic datasets, using a formal programming language (Python, R, SAS).', 'Experience with SAS Event Stream Processing', 'Bachelor’s Degree or higher in a field related to data science such as Mathematics, Statistics, Computer Science, Engineering, Data Science, or Business Analytics.', 'Partnership: Develop and maintain relationships with key business partners to enable improved decision making.', 'Experience working with SAS Code for the purpose of statistics or machine learning', 'Works with various engineering teams, owns end-to-end solution development and scaling focused on Operations (manufacturing) challenges.', 'Experience manipulating data, computing, memory, optimization; experience with cloud computing (AWS)', 'Salary And Benefits Commensurate With Experience.', 'Experience working with unsupervised and supervised machine learning', 'Analytics Project Ownership: Own all aspects of analytics projects from start to finish – pursuing innovative ideas, developing models, uncovering and communicating actionable insights, and implementing solutions to capture value. ', 'Description', '2 or more years of technical and analytical problem-solving experience', 'Analytics Project Ownership: Own all aspects of analytics projects from start to finish – pursuing innovative ideas, developing models, uncovering and communicating actionable insights, and implementing solutions to capture value. Works with various engineering teams, owns end-to-end solution development and scaling focused on Operations (manufacturing) challenges.Partnership: Develop and maintain relationships with key business partners to enable improved decision making.Focus needs to remain on building minimum viable product towards solving majority of the issue instead of “perfecting” the solution, unless critical to safety. Ability to operate independently and self-manage ', 'Focus needs to remain on building minimum viable product towards solving majority of the issue instead of “perfecting” the solution, unless critical to safety. ', 'Experience working with large data sets (>50 GB)', 'Experience with analyzing time series. Must be able to clean, manipulate, analyze, and model time series data in both SAS and open-source technologies', 'Requirements', 'Experience with PySpark and Kinesis', 'Experience mentoring associate / junior data scientists (previous leadership experience)', 'Ability to operate independently and self-manage ', 'Experience architecting high performance data pipelines ', 'Experience working with loT', ""Master's Degree or higher in a field related to data science such as Mathematics, Statistics, Computer Science, Engineering, Data Science, or Business Analytics.Experience with SAS Event Stream ProcessingExperience working with loTExperience working with Manufacturing OperationsExperience with PySpark and KinesisExperience architecting high performance data pipelines Experience mentoring associate / junior data scientists (previous leadership experience)"", 'Experience in data science that encompass having multiple models deployed to production with successful outcomes for users', 'Experience working with Manufacturing Operations']",Entry level,Full-time,Information Technology,Construction,2021-02-16 15:32:09
Associate Data Scientist,The Home Depot,"Atlanta, GA",19 hours ago,35 applicants,"['', ""Master's degree in Analytics, Statistics, Engineering, Math, Finance, Accounting, or Information Systems or related fieldExperience with SQL, Python, Tableau, R, Cloud Computing Platforms, GitHub, Microsoft Office, and similar toolsAbility to be flexible and responsive, able to perform in a fast-paced, dynamic work environment and meet aggressive deadlinesDemonstrating excellent written and verbal communication skills by catering communication styles to technical and non-technical audiences, asking the right questions, and translating complex analyses into understandable insightsImplementing the data science development lifecycle from data exploration, cleansing, and transformation, model development, validation, testing, to visualizationAbility to work with large volumes of data with a wide variety of database applications and cloud environment toolsAbility to develop and apply advanced mathematical/statistical techniquesUtilizing advanced problem-solving skills to navigate unstructured projects that may require innovative approaches while taking into consideration resources, timing, and other constraintsStreamlining processes through enhancements or modifications to systems & procedures and troubleshooting efficientlyStrong interpersonal skills for dealing with sensitive or controversial situationsTangible passion for learning and developing the ability to quickly adapt to new technologies, tools, and techniquesWillingness to collaborate across teams to share best practices and align on approaches"", ""Master's degree in Analytics, Statistics, Engineering, Math, Finance, Accounting, or Information Systems or related field"", 'Ability to develop and apply advanced mathematical/statistical techniques', 'Must be eighteen years of age or older.', '20% - Communication and Visualization: Present analysis and resulting recommendations to senior management; Leverage data to present a compelling business case to optimize investments and operations', '50% - Model Preparation: Establish scalable, efficient processes for large scale data analyses, model development, and model implementation', 'Physical Requirements', 'Travel', 'Tangible passion for learning and developing the ability to quickly adapt to new technologies, tools, and techniques', 'Drives Results - Consistently achieving results, even under tough circumstances', 'Demonstrating excellent written and verbal communication skills by catering communication styles to technical and non-technical audiences, asking the right questions, and translating complex analyses into understandable insights', 'Knowledge, Skills, Abilities, and Competencies', '30% - Model Development and Deployment: Design and develop algorithms and models to use against large datasets to create business insights', 'Communicates Effectively - Developing and delivering multi-mode communications that convey a clear understanding of the unique needs of different audiences', 'ENVIRONMENTAL JOB REQUIREMENTS', 'Action-Oriented - Taking on new opportunities and tough challenges with a sense of urgency, high energy, and enthusiasmCollaborates - Building partnerships and working collaboratively with others to meet shared objectivesCommunicates Effectively - Developing and delivering multi-mode communications that convey a clear understanding of the unique needs of different audiencesCustomer Focus - Building strong customer relationships and delivering customer-centric solutionsDrives Results - Consistently achieving results, even under tough circumstancesManages Conflict - Handling conflict situations effectively with minimal noiseNimble Learning - Actively learning through experimentation when tackling new problems, using both successes and failures as learning fodder', 'Willingness to collaborate across teams to share best practices and align on approaches', 'Action-Oriented - Taking on new opportunities and tough challenges with a sense of urgency, high energy, and enthusiasm', 'Education Required:', 'Preferred Qualifications', 'Utilizing advanced problem-solving skills to navigate unstructured projects that may require innovative approaches while taking into consideration resources, timing, and other constraints', '50% - Model Preparation: Establish scalable, efficient processes for large scale data analyses, model development, and model implementation30% - Model Development and Deployment: Design and develop algorithms and models to use against large datasets to create business insights20% - Communication and Visualization: Present analysis and resulting recommendations to senior management; Leverage data to present a compelling business case to optimize investments and operations', 'Experience with SQL, Python, Tableau, R, Cloud Computing Platforms, GitHub, Microsoft Office, and similar tools', 'Customer Focus - Building strong customer relationships and delivering customer-centric solutions', 'Manages Conflict - Handling conflict situations effectively with minimal noise', 'NATURE AND SCOPE', 'Environment', 'Collaborates - Building partnerships and working collaboratively with others to meet shared objectives', 'Must be eighteen years of age or older.Must be legally permitted to work in the United States.', 'Years of Relevant Work Experience: ', 'Nimble Learning - Actively learning through experimentation when tackling new problems, using both successes and failures as learning fodder', 'Must be legally permitted to work in the United States.', 'Streamlining processes through enhancements or modifications to systems & procedures and troubleshooting efficiently', 'Strong interpersonal skills for dealing with sensitive or controversial situations', 'POSITION PURPOSE', 'Minimum Qualifications', 'Major Tasks, Responsibilities, And Key Accountabilities', 'Implementing the data science development lifecycle from data exploration, cleansing, and transformation, model development, validation, testing, to visualization', 'Ability to work with large volumes of data with a wide variety of database applications and cloud environment tools', 'Ability to be flexible and responsive, able to perform in a fast-paced, dynamic work environment and meet aggressive deadlines']",Entry level,Full-time,Engineering,Information Technology and Services,2021-02-16 15:32:09
Data Scientist,T-Mobile,"Bellevue, WA",18 hours ago,49 applicants,"['', 'Functional Group', 'Responsibilities', 'Zip', 'Job Description', 'EOE Statement', ' Legally authorized to work in the United States.', ' High School Diploma or GED.', 'Company Profile', 'Qualifications', 'State', 'Location Address', 'Travel Required?', 'Schedule', ' At least 18 years of age. Legally authorized to work in the United States. High School Diploma or GED. Pre-employment background screen.Company ProfileAs America’s Un-carrier, T-Mobile USA, Inc. (NASDAQ: “TMUS”) is redefining the way consumers and businesses buy wireless services through leading product and service innovation. The company’s advanced nationwide 4G and 4G LTE network delivers outstanding wireless experiences for customers who are unwilling to compromise on quality and value. Based in Bellevue, Washington, T-Mobile USA. Inc. provides services through its subsidiaries and operates its flagship brands, T-Mobile and Metro by T-Mobile. For more information, please visit http://www.t-mobile.comApplicant Privacy PolicyWe are committed to maintaining your trust by respecting and protecting your privacy. For more information about how T-Mobile processes the personal data of job applicants, please visit Applicant Privacy Policy .EOE StatementEqual Employment OpportunityWe take equal opportunity seriously—by choice.T-Mobile USA, Inc. is an Equal Opportunity Employer. All decisions concerning the employment relationship will be made without regard to age, race, ethnicity, color, religion, creed, sex, sexual orientation, gender identity or expression, national origin, religious affiliation, marital status, citizenship status, veteran status, the presence of any physical or mental disability, or any other status or characteristic protected by federal, state, or local law. Discrimination, retaliation or harassment based upon any of these factors is wholly inconsistent with how we do business and will not be tolerated.Positions Remaining1BrandT-MobileScheduleFull Time', 'Positions Remaining', ' Pre-employment background screen.', 'Equal Employment Opportunity', 'Location', 'Brand', 'Minimum Qualifications', 'City', ' At least 18 years of age.']",Entry level,Full-time,Engineering,Telecommunications,2021-02-16 15:32:09
"Data Scientist- Python, Modeling",Lorien,Greater St. Louis,4 hours ago,Be among the first 25 applicants,"['', 'building predictive deep learning models.', 'Experience using tools for big datasets,such as SQL and PySpark. ', '\xa0Lorien ', 'Requirements for the Data Scientist ', 'Applied experience with agricultural science and/or agricultural datasets.', ':PhD with 1 year of experience or MS with 2 years of experience in Data Science, Machine Learning, Statistics, Applied Mathematics, or another highly quantitative discipline.Demonstrated experience building predictive deep learning models. Strong Python coding skills for data analysis and modeling, including experience with standard data science packages (numpy, pandas, matplotlib, seaborn, sklearn). Ability to learn new quantitative domains and modeling techniques.Self-motivated and able to work independently as well as part of a team.Strong communication skills for interactions with team members.', 'Python coding', 'Experience translating scientific models into code.', ':PhD with 1 year of experience or MS with 2 years of experience in Data Science, Machine Learning, Statistics, Applied Mathematics, or another highly quantitative discipline.', 'Design, prototype, and test predictive models', 'Preferred Qualifications for the Data Scientist: ', 'build predictive models', 'Passion for writing well-structured, well-tested, maintainable, performant, and well-documented code, with an emphasis on scientific code.', 'Ability to learn new quantitative domains and modeling techniques.', 'Please apply online or email ian.mulloy@lorienglobal.com.\xa0If you don’t meet these requirements, but are interested in other Impellam NA, Corestaff Services or Lorien opportunities, please register with us online at ess.impellam.com.', 'Experience using version control systems, e.g. git', 'Demonstrated experience building predictive machine learning, simulation, and/or statistical models.Passion for writing well-structured, well-tested, maintainable, performant, and well-documented code, with an emphasis on scientific code.Experience translating scientific models into code.Applied experience with agricultural science and/or agricultural datasets.Experience using tools for big datasets,such as SQL and PySpark. Experience using version control systems, e.g. git', 'Data Scientist', '\xa0', 'Demonstrated experience building predictive machine learning, simulation, and/or statistical models.', 'Responsibilities for the Data Scientist', 'Write robust, well-documented, and well-tested research code and libraries that adhere to community standards and best practices ', 'Demonstrated experience building predictive deep learning models. ', 'standard data science packages (numpy, pandas, matplotlib, seaborn, sklearn). ', 'such as SQL and PySpark', 'Candidates will work remotely until the virus clears.\xa0Due to contractual obligations, candidates must be on our W2.', 'models', 'Strong Python coding skills for data analysis and modeling, including experience with standard data science packages (numpy, pandas, matplotlib, seaborn, sklearn). ', 'Explore and manipulate large and diverse agronomic datasets as part of building modelsDesign, prototype, and test predictive models using diverse techniques that include but are not limited to machine learning, process modeling, and statistical modeling Write robust, well-documented, and well-tested research code and libraries that adhere to community standards and best practices Work closely with a team of world-class scientists, engineers and mathematicians to deliver high quality and reproducible scientific research', 'research code', 'Strong communication skills for interactions with team members.', 'Self-motivated and able to work independently as well as part of a team.', 'Design, prototype, and test predictive models using diverse techniques that include but are not limited to machine learning, process modeling, and statistical modeling ', 'Work closely with a team of world-class scientists, engineers and mathematicians to deliver high quality and reproducible scientific research', ' Python and experience developing predictive', '\xa0Lorien is an Equal Opportunity Employer - All qualified applicants will receive consideration without regard to race, color, religion, gender, national origin, age, disability, veteran status, or any other factor determined to be unlawful under applicable law.', 'Explore and manipulate large and diverse agronomic datasets as part of building models', 'Data Scientist/Research Scientist with  Python and experience developing predictive models is needed to leverage data science and deep learning skills to analyze complex agronomic data and build predictive models that are used by farmers, agronomists, and consultants \xa0to optimize their crop management programs and economic returns.\xa0This is a long term contract position with potential to convert to full-time..\xa0Candidates will work remotely until the virus clears.\xa0Due to contractual obligations, candidates must be on our W2.\xa0']",Associate,Contract,Engineering,Biotechnology,2021-02-16 15:32:09
Data Scientist ,Collabera Inc.,"California, United States",4 hours ago,Be among the first 25 applicants,"['', 'Experience in Image Data, Vision data or computing vision models', 'Data Science, Machine Learning, Deep Learning, Python, MS SQL Server', 'Deploying models in Android, Linux, Server side', 'Day in the Life:', '5-6 experience with Data Science industries expExperience in Image Data, Vision data or computing vision modelsDeep learning Models CNNPrimarily Image model / Computer Vision ModelsML Engineering which includes Data pipeline, Model Development, Data DevelopmentBuilding a data pipelineDeploying models in Android, Linux, Server sideOpen to work with different teamsPython is must and heavily developmentMS SQL Server experience is preferred.Cloud experience (AWS or Azure) is nice to have', 'Primarily Image model / Computer Vision Models', '5-6 experience with Data Science industries exp', 'Open to work with different teams', 'MS SQL Server experience is preferred.', 'Building a data pipeline', 'Cloud experience (AWS or Azure) is nice to have', 'Deep learning Models CNN', 'Python is must and heavily development', 'ML Engineering which includes Data pipeline, Model Development, Data Development', 'Note: The candidate can be based anywhere in California. Might require some travel to the client locations within California. ']",Mid-Senior level,Contract,Information Technology,Information Technology and Services,2021-02-16 15:32:09
