job_title,company,location,date
Data Scientist,"Curative Inc,","Washington, DC 20002 (Gateway area)",2020-07-24 15:35:16
Data Scientist,"Positive Circularity, (DBA LIFELENZ)","Washington, DC 20001 (Shaw area)",2020-07-24 15:35:16
Senior Marketing Data Analyst,"Membership Marketing Partners, LLC","Alexandria, VA 22314 (Old Town North area)",2020-07-24 15:35:16
Data Scientist,MSTPF dba Approved Cash,"Staunton, VA 24401",2020-07-24 15:35:16
Senior Genomic Data Scientist,GeneDx,"Gaithersburg, MD 20877",2020-07-24 15:35:16
Data Scientist,Department of of Human Services (DHS),"Washington, DC 20002 (Truxton Circle area)",2020-07-24 15:35:16
Image Processing Data Scientist,Next Generation Technology,"McLean, VA",2020-07-24 15:35:16
Data Scientist,"Technology, Automation, and Management, Inc.","Fairfax, VA 22031",2020-07-24 15:35:16
Data Scientist,Next Generation Technology,"McLean, VA",2020-07-24 15:35:16
"Data Scientist, Machine Learning Engineer",NOVI LLC,"Arlington, VA 22206 (Fairlington-Shirlington area)",2020-07-24 15:35:16
Data Scientist,Kitcheck,"Washington, DC",2020-07-24 15:35:16
Data Scientist,Improvix Technologies,"Washington, DC 20036 (Downtown area)",2020-07-24 15:35:16
Data Scientist,Government of the District of Columbia,"Washington, DC 20002 (Truxton Circle area)",2020-07-24 15:35:16
Data Scientist,IQuasar,"Fairfax, VA",2020-07-24 15:35:16
Machine Learning Data Scientist,Storyblocks,"Arlington, VA 22201 (Radnor-Ft Myer Heights area)",2020-07-24 15:35:16
Data Scientist (Mid-Level),National Geospatial-Intelligence Agency,"Springfield, VA",2020-07-24 15:35:16
Senior Data Scientist,GEICO,"Chevy Chase, MD",2020-07-24 15:35:16
Data Scientist,"Curative Inc,","Washington, DC 20002 (Gateway area)",2020-07-24 15:35:32
Senior Data Scientist,OneGlobe LLC,"Reston, VA 20191 (Hunter area)",2020-07-24 15:35:32
Data Scientist,"Positive Circularity, (DBA LIFELENZ)","Washington, DC 20001 (Shaw area)",2020-07-24 15:35:32
Data Scientist,Global Fishing Watch,"Oakland, CA",2020-07-24 15:35:32
Data Scientist,"Metron, Inc.","Reston, VA",2020-07-24 15:35:32
Data Analyst/Scientist (Entry Level),"TekEdge Solution, INC.","San Jose, CA",2020-07-24 15:35:32
Junior Data Scientist,Metaphase Consulting,"Arlington, VA",2020-07-24 15:35:32
Data Analyst/Scientist (0-2 yrs experienced only),"TekEdge Solution,Inc.","Alpharetta, GA",2020-07-24 15:35:32
"2020 Intern - Data Research Scientist (People Analytics) - Falls Church, VA",Northrop Grumman,"Falls Church, VA 22041",2020-07-24 15:35:32
Cleared Data Scientist,Serry Systems,"Arlington, VA 22203 (Bluemont area)",2020-07-24 15:35:32
Data Scientist,Central Intelligence Agency,"Washington, DC",2020-07-24 15:35:32
Jr Data Scientist-D&I (230292),Bechtel,"Reston, VA 20190 (Sunset Hills area)",2020-07-24 15:35:32
Data Scientist,GradTests (gradtests.com),"Boston, MA",2020-07-24 15:35:32
Data Scientist,OpenMind,Remote,2020-07-24 15:35:32
Data Scientist Career - TR-GLOBAL,Jacobs,"Washington, DC 20003 (Navy Yard area)",2020-07-24 15:35:32
Senior Data Scientist (Remote-friendly),Noom Inc.,Remote,2020-07-24 15:35:32
Data Scientist,Bender Consulting Services,"Washington, DC",2020-07-24 15:35:32
Senior Health Data Scientist,Consumers' Checkbook/Center for the Study of Services,"Washington, DC 20006 (Downtown area)",2020-07-24 15:35:32
