job_title,company,company_rating,location,date
Data Scientist,"Curative Inc,",N/A,"Washington, DC 20002 (Gateway area)",2020-07-24 15:42:05
Data Scientist (Mid-Level),National Geospatial-Intelligence Agency,"
4.1




","Springfield, VA",2020-07-24 15:42:05
Senior Data Scientist,OneGlobe LLC,N/A,"Reston, VA 20191 (Hunter area)",2020-07-24 15:42:05
Senior Data Scientist,Intuit,"
4.2




","Mountain View, CA 94041",2020-07-24 15:42:05
Senior Marketing Data Analyst,"Membership Marketing Partners, LLC",N/A,"Alexandria, VA 22314 (Old Town North area)",2020-07-24 15:42:05
Data Scientist,Bender Consulting Services,"
3.5




","Washington, DC",2020-07-24 15:42:05
Geospatial Data Analyst Scientist (Mid and Senior Levels),Darkhorse Geospatial LLC,N/A,"Springfield, VA",2020-07-24 15:42:05
Data Scientist,Department of of Human Services (DHS),N/A,"Washington, DC 20002 (Truxton Circle area)",2020-07-24 15:42:05
Image Processing Data Scientist,Next Generation Technology,N/A,"McLean, VA",2020-07-24 15:42:05
Data Scientist,Next Generation Technology,N/A,"McLean, VA",2020-07-24 15:42:05
Data Scientist,"Technology, Automation, and Management, Inc.",N/A,"Fairfax, VA 22031",2020-07-24 15:42:05
"Data Scientist, Machine Learning Engineer",NOVI LLC,N/A,"Arlington, VA 22206 (Fairlington-Shirlington area)",2020-07-24 15:42:05
Data Scientist,Kitcheck,N/A,"Washington, DC",2020-07-24 15:42:05
Data Scientist,IQuasar,N/A,"Fairfax, VA",2020-07-24 15:42:05
Data Scientist,Improvix Technologies,N/A,"Washington, DC 20036 (Downtown area)",2020-07-24 15:42:05
Data Scientist,Government of the District of Columbia,"
3.6




","Washington, DC 20002 (Truxton Circle area)",2020-07-24 15:42:05
Machine Learning Data Scientist,Storyblocks,N/A,"Arlington, VA 22201 (Radnor-Ft Myer Heights area)",2020-07-24 15:42:05
Data Scientist,MSTPF dba Approved Cash,N/A,"Staunton, VA 24401",2020-07-24 15:42:05
Data Scientist,"Positive Circularity, (DBA LIFELENZ)",N/A,"Washington, DC 20001 (Shaw area)",2020-07-24 15:42:05
Data Scientist,"Curative Inc,",N/A,"Washington, DC 20002 (Gateway area)",2020-07-24 15:42:21
Data Scientist,"Positive Circularity, (DBA LIFELENZ)",N/A,"Washington, DC 20001 (Shaw area)",2020-07-24 15:42:21
Data Scientist,Northrop Grumman,"
4.0




","McLean, VA 22102",2020-07-24 15:42:21
Data Scientist,Global Fishing Watch,N/A,"Oakland, CA",2020-07-24 15:42:21
Senior Data Scientist (Remote-friendly),Noom Inc.,"
4.1




",Remote,2020-07-24 15:42:21
Data Scientist (Mid-Level),National Geospatial-Intelligence Agency,"
4.1




","Springfield, VA",2020-07-24 15:42:21
Data Analyst/Scientist (Entry Level),"TekEdge Solution, INC.",N/A,"San Jose, CA",2020-07-24 15:42:21
Data Analyst/Scientist (0-2 yrs experienced only),"TekEdge Solution,Inc.",N/A,"Alpharetta, GA",2020-07-24 15:42:21
Junior Data Scientist,Metaphase Consulting,N/A,"Arlington, VA",2020-07-24 15:42:21
Jr Data Scientist-D&I (230292),Bechtel,"
4.1




","Reston, VA 20190 (Sunset Hills area)",2020-07-24 15:42:21
Cleared Data Scientist,Serry Systems,N/A,"Arlington, VA 22203 (Bluemont area)",2020-07-24 15:42:21
Data Scientist,Central Intelligence Agency,"
4.3




","Washington, DC",2020-07-24 15:42:21
Undergraduate Internship/Co-op Program - Data Scientist,Central Intelligence Agency,"
4.3




","Washington, DC",2020-07-24 15:42:21
Data Scientist,GradTests (gradtests.com),N/A,"Boston, MA",2020-07-24 15:42:21
Data Scientist Entry Level - Pathrise Recruiting Partners,Pathrise,N/A,Remote,2020-07-24 15:42:21
"2020 Intern - Data Research Scientist (People Analytics) - Falls Church, VA",Northrop Grumman,"
4.0




","Falls Church, VA 22041",2020-07-24 15:42:21
Senior Genomic Data Scientist,GeneDx,"
2.9




","Gaithersburg, MD 20877",2020-07-24 15:42:21
Senior Health Data Scientist,Consumers' Checkbook/Center for the Study of Services,N/A,"Washington, DC 20006 (Downtown area)",2020-07-24 15:42:21
