job_title,company,company_rating,location,job_text,date
Classic Car Restoration - Painter/Bodyman,The Creative Workshop,N/A,"Dania Beach, FL 33004","['Health Insurance', 'Paid Time Off', 'Relocation Assistance', 'Bonuses', 'One location', '8AM', '4PM', 'Weekly', 'Monday to Friday', 'No weekends', 'www.TheCreativeWorkshop.com', 'www.facebook.com/TheCreativeWorkshop/', 'Waiting period may apply', 'Only full-time employees eligible', 'No']",2020-07-26 09:17:33
General Manager for Classic Car Restoration Shop,Classic Corner Garage,N/A,"Mesa, AZ 85210","['Paid Time Off', 'Management: 10 years (Preferred)', 'general manager: 10 years (Preferred)', 'Bonuses', 'Open to applicants who do not have a college diploma', 'Monday to Friday', 'Other', 'Setting and meeting goals for service, operations, and financial results', 'Maintaining excellent customer service standards', 'Maintaining property and equipment', 'Inspecting and adhering to safety and sanitation guidelines', 'Performing front-line customer service', 'www.classiccornergarage.com', 'https://www.facebook.com/classiccornergarage/', 'No']",2020-07-26 09:17:33
Classic Car Restoration Shop,SoFlo Custom Coatings,N/A,"Hollywood, FL 33020","['Bodywork/ Collision Repair', 'Fabrication', ""Paint / Blending Custom and Candy Mix's"", 'Welding/Panel Replacement', 'Rust Repair Tech.', 'Disassembly/ Assembly', 'General Conversation for Upgrades and Customization', 'Body Panel Alignment Skills are REQUIRED.', 'All Facets of repair', 'Disk brake conversion', 'Carburetor and Fuel injection', 'Custom engine builds', 'Monday to Friday', 'Must have at least 5-10 years experience', 'One location', 'Detail-oriented -- quality and precision-focused', 'Aggressive -- competitive and growth-oriented', 'Outcome-oriented -- results-focused with strong performance culture', 'Team-oriented -- cooperative and collaborative']",2020-07-26 09:17:33
Automotive Painter & Classic Car Restoration - Venom Builds,Venom Builds,N/A,"Lewiston, MN 55952",['Automotive Painting: 2 years (Required)'],2020-07-26 09:17:33
Auto Body Technians and Experienced Helpers,Black Wolf Automotive Specialties,N/A,"Woodbridge, VA 22191","['Efficiently, accurately, and consistently perform quality work', 'Maintain an organized and neat shop area.', 'Adhere to all company policies and procedures.', 'Communicate directly with the team regarding the status of the service work as well as the estimated time for completion', 'Demonstrate behaviors consistent with the Company’s Values and remain transparent in all interactions with customers, vendors and coworkers', 'Ethics and Morals', 'Helping others', 'Getting things done right the first time', 'Understanding how things work', 'Appreciating the details in a job well done', 'Self-awareness, self-improvement and growth', 'Consistent, weekly pay', ""Experienced techs starting pay can be based on your last year's W2 (most)"", 'Classic/ antique/ specialty car experience appreciated, but not required.', 'Lots of opportunity for growth including rapid growth potential', '5 Day, Monday-Friday work week', 'Excellent health insurance benefits', 'Paid holidays', 'Paid vacations', 'An opportunity to learn many arts and skills that few know how to do', 'A positive/supportive environment', 'The opportunity to be surrounded by people with similar passions', 'No commission, corporate or dealership politics']",2020-07-26 09:17:33
Auto Technician,Black Wolf Automotive Specialties,N/A,"Woodbridge, VA 22191","['Efficiently, accurately, and consistently perform quality work', 'Maintain an organized and neat shop area.', 'Adhere to all company policies and procedures.', 'Communicate directly with the team regarding the status of the service work as well as the estimated time for completion', 'Demonstrate behaviors consistent with the Company’s Values and remain transparent in all interactions with customers, vendors and coworkers', 'Ethics and Morals', 'Helping others', 'Getting things done right the first time', 'Understanding how things work', 'Appreciating the details in a job well done', 'Self-awareness, self-improvement and growth', 'Consistent, weekly pay', ""Experienced techs starting pay can be based on your last year's W2 (most)"", 'Classic/ antique/ specialty car experience appreciated, but not required.', 'Lots of opportunity for growth including rapid growth potential', '5 Day, Monday-Friday work week', 'Excellent health insurance benefits', 'Paid holidays', 'Paid vacations', 'An opportunity to learn many arts and skills that few know how to do', 'A positive/supportive environment', 'The opportunity to be surrounded by people with similar passions', 'No commission, corporate or dealership politics']",2020-07-26 09:17:33
Auto Mechanic,Black Wolf Automotive Specialties,N/A,"Woodbridge, VA 22191","['Efficiently, accurately, and consistently perform quality work', 'Maintain an organized and neat shop area.', 'Adhere to all company policies and procedures.', 'Communicate directly with the team regarding the status of the service work as well as the estimated time for completion', 'Demonstrate behaviors consistent with the Company’s Values and remain transparent in all interactions with customers, vendors and coworkers', 'Ethics and Morals', 'Helping others', 'Getting things done right the first time', 'Understanding how things work', 'Appreciating the details in a job well done', 'Self-awareness, self-improvement and growth', 'Consistent, weekly pay', ""Experienced techs starting pay can be based on your last year's W2 (most)"", 'Classic/ antique/ specialty car experience appreciated, but not required.', 'Lots of opportunity for growth including rapid growth potential', '5 Day, Monday-Friday work week', 'Excellent health insurance benefits', 'Paid holidays', 'Paid vacations', 'An opportunity to learn many arts and skills that few know how to do', 'A positive/supportive environment', 'The opportunity to be surrounded by people with similar passions', 'No commission, corporate or dealership politics']",2020-07-26 09:17:33
Autobody Technician,Black Wolf Automotive Specialties,N/A,"Woodbridge, VA 22191","['Efficiently, accurately, and consistently perform quality work', 'Maintain an organized and neat shop area.', 'Adhere to all company policies and procedures.', 'Communicate directly with the team regarding the status of the service work as well as the estimated time for completion', 'Demonstrate behaviors consistent with the Company’s Values and remain transparent in all interactions with customers, vendors and coworkers', 'Helping others', 'Getting things done right the first time', 'Understanding how things work', 'Appreciating the details in a job well done', 'Self-awareness, self-improvement and growth', 'Ethics and Morals', 'Consistent, weekly pay. Every Friday', 'Lots of opportunity for growth including rapid growth potential', '5 Day, Monday-Friday work week', 'Excellent health insurance benefits', 'Paid holidays', 'Paid vacations', 'An opportunity to learn many arts and skills that few know how to do', 'A positive/supportive environment', 'The opportunity to be surrounded by people with similar passions', 'No corporate or dealership politics']",2020-07-26 09:17:33
Custom Car Builder & Tech Needed Immediately,"Cruzer’s Customs, LLC",N/A,"New Braunfels, TX 78132","['New Braunfels, TX 78132 (Required)', 'Other forms', 'One location', '9AM', '6PM', 'A job for which military experienced candidates are encouraged to apply', 'Open to applicants who do not have a high school diploma/GED', 'A “Fair Chance” job (you or the employer follow Fair Chance hiring practices when performing background checks)', 'A good fit for applicants with gaps in their resume, or who have been out of the workforce for the past 6 months or more', 'Open to applicants who do not have a college diploma', ""CRUZER'S CUSTOMS"", 'https://www.facebook.com/Cruzers-Customs-712558785470683', 'Waiting period may apply', 'Only full-time employees eligible', 'No']",2020-07-26 09:17:33
Classic Car Apprentice Wanted-Paid Position,Crossroads Restorations,N/A,"Manchaca, TX 78652","['Monday to Friday', 'One location', '20-29', '8AM', '2PM', 'xroadsrestorations.com']",2020-07-26 09:17:33
